월,대표품목,조회_HS코드,세부_HS코드,세부품목명,수출금액_USD,수출중량_KG,수입금액_USD,수입중량_KG
2020.01,DRAM모듈,8473304060,8473304060,디램 모듈,671991431,153880,251334907,105536
2020.02,DRAM모듈,8473304060,8473304060,디램 모듈,772722669,171099,243773365,79999
2020.03,DRAM모듈,8473304060,8473304060,디램 모듈,1108994343,217645,228359510,73292
2020.04,DRAM모듈,8473304060,8473304060,디램 모듈,1119535711,186257,181283630,53666
2020.05,DRAM모듈,8473304060,8473304060,디램 모듈,1106465787,179609,221996675,58874
2020.06,DRAM모듈,8473304060,8473304060,디램 모듈,1210698403,186204,232280486,53277
2020.07,DRAM모듈,8473304060,8473304060,디램 모듈,805243232,126341,301995596,65561
2020.08,DRAM모듈,8473304060,8473304060,디램 모듈,770070488,115687,375989954,65157
2020.09,DRAM모듈,8473304060,8473304060,디램 모듈,1210533586,187112,372307915,70981
2020.10,DRAM모듈,8473304060,8473304060,디램 모듈,814903073,149145,321818344,70820
2020.11,DRAM모듈,8473304060,8473304060,디램 모듈,828785467,159161,272510387,58158
2020.12,DRAM모듈,8473304060,8473304060,디램 모듈,1150337646,213201,239402801,60399
2021.01,DRAM모듈,8473304060,8473304060,디램 모듈,884996536,167661,273015879,61365
2021.02,DRAM모듈,8473304060,8473304060,디램 모듈,745036364,147515,167426234,44143
2021.03,DRAM모듈,8473304060,8473304060,디램 모듈,906409347,167078,193672310,59498
2021.04,DRAM모듈,8473304060,8473304060,디램 모듈,1007691391,158393,183180450,50832
2021.05,DRAM모듈,8473304060,8473304060,디램 모듈,952576960,149328,173478737,37835
2021.06,DRAM모듈,8473304060,8473304060,디램 모듈,1197708939,181148,210184883,35730
2021.07,DRAM모듈,8473304060,8473304060,디램 모듈,1236205018,174814,329706395,65781
2021.08,DRAM모듈,8473304060,8473304060,디램 모듈,1193530028,161832,141709553,38673
2021.09,DRAM모듈,8473304060,8473304060,디램 모듈,1206487771,158680,305043373,54672
2021.10,DRAM모듈,8473304060,8473304060,디램 모듈,1093171037,138829,191034652,48867
2021.11,DRAM모듈,8473304060,8473304060,디램 모듈,1252301751,185297,218626559,56635
2021.12,DRAM모듈,8473304060,8473304060,디램 모듈,1577269695,222003,362954830,76035
2022.01,DRAM모듈,8473304060,8473304060,디램 모듈,941337205,138384,536317240,88916
2022.02,DRAM모듈,8473304060,8473304060,디램 모듈,1017611203,150746,391338028,58370
2022.03,DRAM모듈,8473304060,8473304060,디램 모듈,1422930724,202543,454434982,71002
2022.04,DRAM모듈,8473304060,8473304060,디램 모듈,1051217267,157990,193128667,43237
2022.05,DRAM모듈,8473304060,8473304060,디램 모듈,1237848844,178838,334923409,70817
2022.06,DRAM모듈,8473304060,8473304060,디램 모듈,1386154126,209624,303076186,64783
2022.07,DRAM모듈,8473304060,8473304060,디램 모듈,904628547,131304,482338563,95961
2022.08,DRAM모듈,8473304060,8473304060,디램 모듈,782538238,125117,300315147,76209
2022.09,DRAM모듈,8473304060,8473304060,디램 모듈,1285936672,259548,187294176,57795
2022.10,DRAM모듈,8473304060,8473304060,디램 모듈,503710265,126308,228493040,63225
2022.11,DRAM모듈,8473304060,8473304060,디램 모듈,412314741,132805,413782205,94375
2022.12,DRAM모듈,8473304060,8473304060,디램 모듈,1029499236,278403,254387410,71450
2023.01,DRAM모듈,8473304060,8473304060,디램 모듈,277157396,55189,253980889,89512
2023.02,DRAM모듈,8473304060,8473304060,디램 모듈,310170812,110763,200880151,78590
2023.03,DRAM모듈,8473304060,8473304060,디램 모듈,826025867,222760,194159906,56959
2023.04,DRAM모듈,8473304060,8473304060,디램 모듈,308858808,97853,318371320,103592
2023.05,DRAM모듈,8473304060,8473304060,디램 모듈,388351218,94444,260290160,91981
2023.06,DRAM모듈,8473304060,8473304060,디램 모듈,734085377,194035,265345984,99903
2023.07,DRAM모듈,8473304060,8473304060,디램 모듈,548370766,139159,160019995,62330
2023.08,DRAM모듈,8473304060,8473304060,디램 모듈,520306355,111030,246212986,69572
2023.09,DRAM모듈,8473304060,8473304060,디램 모듈,1163327153,300706,290827614,87478
2023.10,DRAM모듈,8473304060,8473304060,디램 모듈,760516116,156779,298065066,81803
2023.11,DRAM모듈,8473304060,8473304060,디램 모듈,978726984,175841,316574388,82865
2023.12,DRAM모듈,8473304060,8473304060,디램 모듈,1670672768,259593,315398235,88107
2024.01,DRAM모듈,8473304060,8473304060,디램 모듈,735739093,121291,266019344,77316
2024.02,DRAM모듈,8473304060,8473304060,디램 모듈,902709199,155040,312218035,78776
