월,품목명,HS코드,국가코드,국가명,수출금액_USD,수출중량_KG
2022.01,필러,3304999000,US,미국,13317032,603463
2022.01,필러,3304999000,CN,중국,35747919,1296005
2022.01,필러,3304999000,JP,일본,11926279,291696
2022.01,필러,3304999000,VN,베트남,5820113,185393
2022.01,필러,3304999000,HK,홍콩,6467519,86451
2022.01,필러,3304999000,FR,프랑스,916700,41317
2022.01,필러,3304999000,PL,폴란드,1029671,18009
2022.01,필러,3304999000,GB,영국,2610833,91811
2022.01,필러,3304999000,OTHER,기타,40807997,1701720
2022.02,필러,3304999000,US,미국,11595004,620683
2022.02,필러,3304999000,CN,중국,46395488,1763145
2022.02,필러,3304999000,JP,일본,14938700,333424
2022.02,필러,3304999000,VN,베트남,7149800,228164
2022.02,필러,3304999000,HK,홍콩,5827357,111660
2022.02,필러,3304999000,FR,프랑스,372712,1871
2022.02,필러,3304999000,PL,폴란드,1657162,55825
2022.02,필러,3304999000,GB,영국,1892641,32274
2022.02,필러,3304999000,OTHER,기타,39345792,1522473
2022.03,필러,3304999000,US,미국,13408021,633703
2022.03,필러,3304999000,CN,중국,52626296,2131548
2022.03,필러,3304999000,JP,일본,24699557,524531
2022.03,필러,3304999000,VN,베트남,8004592,325117
2022.03,필러,3304999000,HK,홍콩,5402937,121617
2022.03,필러,3304999000,FR,프랑스,687142,8567
2022.03,필러,3304999000,PL,폴란드,1395441,30149
2022.03,필러,3304999000,GB,영국,2737853,78344
2022.03,필러,3304999000,OTHER,기타,49127896,1621054
2022.04,필러,3304999000,US,미국,15157834,653483
2022.04,필러,3304999000,CN,중국,59578058,1825656
2022.04,필러,3304999000,JP,일본,11772541,310653
2022.04,필러,3304999000,VN,베트남,7085360,212857
2022.04,필러,3304999000,HK,홍콩,9337225,111950
2022.04,필러,3304999000,FR,프랑스,1021841,6158
2022.04,필러,3304999000,PL,폴란드,1530844,33934
2022.04,필러,3304999000,GB,영국,2751801,67076
2022.04,필러,3304999000,OTHER,기타,45639060,1733198
2022.05,필러,3304999000,US,미국,12238823,626177
2022.05,필러,3304999000,CN,중국,88944830,2151781
2022.05,필러,3304999000,JP,일본,16395580,457895
2022.05,필러,3304999000,VN,베트남,9589778,807880
2022.05,필러,3304999000,HK,홍콩,6776569,103516
2022.05,필러,3304999000,FR,프랑스,316952,8885
2022.05,필러,3304999000,PL,폴란드,2624867,54558
2022.05,필러,3304999000,GB,영국,2830155,60882
2022.05,필러,3304999000,OTHER,기타,48522560,1641344
2022.06,필러,3304999000,US,미국,13958268,529131
2022.06,필러,3304999000,CN,중국,54582763,2253438
2022.06,필러,3304999000,JP,일본,20042395,470600
2022.06,필러,3304999000,VN,베트남,12853614,309668
2022.06,필러,3304999000,HK,홍콩,3548149,81044
2022.06,필러,3304999000,FR,프랑스,1072065,13679
2022.06,필러,3304999000,PL,폴란드,1681091,35092
2022.06,필러,3304999000,GB,영국,2837144,45959
2022.06,필러,3304999000,OTHER,기타,51752704,1703259
2022.07,필러,3304999000,US,미국,11199134,488989
2022.07,필러,3304999000,CN,중국,49522475,1963164
2022.07,필러,3304999000,JP,일본,13324012,464465
2022.07,필러,3304999000,VN,베트남,16251069,417686
2022.07,필러,3304999000,HK,홍콩,3411558,91831
2022.07,필러,3304999000,FR,프랑스,1035737,10096
2022.07,필러,3304999000,PL,폴란드,1272891,29647
2022.07,필러,3304999000,GB,영국,2855920,62013
2022.07,필러,3304999000,OTHER,기타,46065470,1844843
2022.08,필러,3304999000,US,미국,10504901,454828
2022.08,필러,3304999000,CN,중국,52177741,1672898
2022.08,필러,3304999000,JP,일본,15106759,491635
2022.08,필러,3304999000,VN,베트남,14068466,355508
2022.08,필러,3304999000,HK,홍콩,3768949,80294
2022.08,필러,3304999000,FR,프랑스,624134,6826
2022.08,필러,3304999000,PL,폴란드,1586482,23816
2022.08,필러,3304999000,GB,영국,2429665,53645
2022.08,필러,3304999000,OTHER,기타,46353225,1754313
2022.09,필러,3304999000,US,미국,13386829,559829
2022.09,필러,3304999000,CN,중국,63746423,2476057
2022.09,필러,3304999000,JP,일본,16157536,584098
2022.09,필러,3304999000,VN,베트남,10424095,342670
2022.09,필러,3304999000,HK,홍콩,4509240,118344
2022.09,필러,3304999000,FR,프랑스,645984,7775
2022.09,필러,3304999000,PL,폴란드,1253833,32924
2022.09,필러,3304999000,GB,영국,2684905,43145
2022.09,필러,3304999000,OTHER,기타,53913770,2056502
2022.10,필러,3304999000,US,미국,10106780,493132
2022.10,필러,3304999000,CN,중국,46667187,1879256
2022.10,필러,3304999000,JP,일본,9360130,306789
2022.10,필러,3304999000,VN,베트남,12887439,342825
2022.10,필러,3304999000,HK,홍콩,4823201,126682
2022.10,필러,3304999000,FR,프랑스,1160535,8903
2022.10,필러,3304999000,PL,폴란드,1825421,46149
2022.10,필러,3304999000,GB,영국,2669971,52439
2022.10,필러,3304999000,OTHER,기타,54005464,2058516
2022.11,필러,3304999000,US,미국,10511935,484880
2022.11,필러,3304999000,CN,중국,58904805,1515647
2022.11,필러,3304999000,JP,일본,15537724,458815
2022.11,필러,3304999000,VN,베트남,12976102,364201
2022.11,필러,3304999000,HK,홍콩,5432627,118288
2022.11,필러,3304999000,FR,프랑스,1345414,15496
2022.11,필러,3304999000,PL,폴란드,1038399,11082
2022.11,필러,3304999000,GB,영국,3067008,58644
2022.11,필러,3304999000,OTHER,기타,54150984,2117740
2022.12,필러,3304999000,US,미국,13359261,603440
2022.12,필러,3304999000,CN,중국,46855670,1170720
2022.12,필러,3304999000,JP,일본,10581945,305663
2022.12,필러,3304999000,VN,베트남,16743234,367896
2022.12,필러,3304999000,HK,홍콩,5867714,116370
2022.12,필러,3304999000,FR,프랑스,247385,7658
2022.12,필러,3304999000,PL,폴란드,1318090,26805
2022.12,필러,3304999000,GB,영국,3023415,60266
2022.12,필러,3304999000,OTHER,기타,58563706,2140078
2023.01,필러,3304999000,US,미국,11294433,420956
2023.01,필러,3304999000,CN,중국,26764440,690146
2023.01,필러,3304999000,JP,일본,11381214,239434
2023.01,필러,3304999000,VN,베트남,13004019,244287
2023.01,필러,3304999000,HK,홍콩,3128025,84355
2023.01,필러,3304999000,FR,프랑스,523541,2187
2023.01,필러,3304999000,PL,폴란드,1704820,52357
2023.01,필러,3304999000,GB,영국,2497221,52209
2023.01,필러,3304999000,OTHER,기타,50205736,1760964
2023.02,필러,3304999000,US,미국,14528637,518252
2023.02,필러,3304999000,CN,중국,53127859,1454887
2023.02,필러,3304999000,JP,일본,13143784,303940
2023.02,필러,3304999000,VN,베트남,18718705,434729
2023.02,필러,3304999000,HK,홍콩,4615766,99627
2023.02,필러,3304999000,FR,프랑스,961256,4452
2023.02,필러,3304999000,PL,폴란드,2294368,90001
2023.02,필러,3304999000,GB,영국,2675569,34993
2023.02,필러,3304999000,OTHER,기타,57351786,2148076
2023.03,필러,3304999000,US,미국,13477753,502237
2023.03,필러,3304999000,CN,중국,55918876,2122327
2023.03,필러,3304999000,JP,일본,19592268,481353
2023.03,필러,3304999000,VN,베트남,18505205,394676
2023.03,필러,3304999000,HK,홍콩,6607165,161803
2023.03,필러,3304999000,FR,프랑스,720556,9763
2023.03,필러,3304999000,PL,폴란드,1931971,57779
2023.03,필러,3304999000,GB,영국,2926768,55906
2023.03,필러,3304999000,OTHER,기타,76009870,2647584
2023.04,필러,3304999000,US,미국,16183554,585774
2023.04,필러,3304999000,CN,중국,50814652,1546699
2023.04,필러,3304999000,JP,일본,10905252,334729
2023.04,필러,3304999000,VN,베트남,13589348,262409
2023.04,필러,3304999000,HK,홍콩,6557146,134783
2023.04,필러,3304999000,FR,프랑스,856389,18276
2023.04,필러,3304999000,PL,폴란드,2487415,72122
2023.04,필러,3304999000,GB,영국,2651685,66728
2023.04,필러,3304999000,OTHER,기타,62049925,2195113
2023.05,필러,3304999000,US,미국,14384678,695870
2023.05,필러,3304999000,CN,중국,51596066,1172942
2023.05,필러,3304999000,JP,일본,10439620,293444
2023.05,필러,3304999000,VN,베트남,17651877,385436
2023.05,필러,3304999000,HK,홍콩,6802519,150236
2023.05,필러,3304999000,FR,프랑스,1160284,15773
2023.05,필러,3304999000,PL,폴란드,1846345,35490
2023.05,필러,3304999000,GB,영국,3326970,69721
2023.05,필러,3304999000,OTHER,기타,61265201,2107663
2023.06,필러,3304999000,US,미국,15712152,699585
2023.06,필러,3304999000,CN,중국,47363429,1211001
2023.06,필러,3304999000,JP,일본,21699951,517874
2023.06,필러,3304999000,VN,베트남,16941869,282858
2023.06,필러,3304999000,HK,홍콩,6895838,152048
2023.06,필러,3304999000,FR,프랑스,1039840,9159
2023.06,필러,3304999000,PL,폴란드,2310138,67599
2023.06,필러,3304999000,GB,영국,3884029,90657
2023.06,필러,3304999000,OTHER,기타,73023297,2124020
2023.07,필러,3304999000,US,미국,18366326,803618
2023.07,필러,3304999000,CN,중국,34772781,952005
2023.07,필러,3304999000,JP,일본,13263313,308324
2023.07,필러,3304999000,VN,베트남,15177280,283758
2023.07,필러,3304999000,HK,홍콩,5416866,131565
2023.07,필러,3304999000,FR,프랑스,325945,6183
2023.07,필러,3304999000,PL,폴란드,1812546,49079
2023.07,필러,3304999000,GB,영국,3984432,102873
2023.07,필러,3304999000,OTHER,기타,61283168,1999334
2023.08,필러,3304999000,US,미국,16678336,826510
2023.08,필러,3304999000,CN,중국,35457566,1033728
2023.08,필러,3304999000,JP,일본,14321667,388266
2023.08,필러,3304999000,VN,베트남,17293759,298788
2023.08,필러,3304999000,HK,홍콩,4857311,146886
2023.08,필러,3304999000,FR,프랑스,1041390,8521
2023.08,필러,3304999000,PL,폴란드,1714924,30106
2023.08,필러,3304999000,GB,영국,3988645,110314
2023.08,필러,3304999000,OTHER,기타,61324701,2172904
2023.09,필러,3304999000,US,미국,19848025,1378252
2023.09,필러,3304999000,CN,중국,55606628,1224516
2023.09,필러,3304999000,JP,일본,20771872,563987
2023.09,필러,3304999000,VN,베트남,15390204,358330
2023.09,필러,3304999000,HK,홍콩,4787597,132440
2023.09,필러,3304999000,FR,프랑스,748290,7011
2023.09,필러,3304999000,PL,폴란드,1714123,55642
2023.09,필러,3304999000,GB,영국,4321304,143372
2023.09,필러,3304999000,OTHER,기타,66729689,2095773
2023.10,필러,3304999000,US,미국,13868397,582667
2023.10,필러,3304999000,CN,중국,54919659,1535846
2023.10,필러,3304999000,JP,일본,13136954,385779
2023.10,필러,3304999000,VN,베트남,17026102,366221
2023.10,필러,3304999000,HK,홍콩,3970813,165243
2023.10,필러,3304999000,FR,프랑스,1007729,12871
2023.10,필러,3304999000,PL,폴란드,2057587,74646
2023.10,필러,3304999000,GB,영국,2565866,34445
2023.10,필러,3304999000,OTHER,기타,67235843,2173270
2023.11,필러,3304999000,US,미국,16395649,681499
2023.11,필러,3304999000,CN,중국,48658177,1921916
2023.11,필러,3304999000,JP,일본,16175058,383522
2023.11,필러,3304999000,VN,베트남,22451911,428143
2023.11,필러,3304999000,HK,홍콩,5951127,131189
2023.11,필러,3304999000,FR,프랑스,1108495,22423
2023.11,필러,3304999000,PL,폴란드,2369711,69419
2023.11,필러,3304999000,GB,영국,4228230,118733
2023.11,필러,3304999000,OTHER,기타,67887631,2262040
2023.12,필러,3304999000,US,미국,17378163,653210
2023.12,필러,3304999000,CN,중국,41890642,1503173
2023.12,필러,3304999000,JP,일본,15418803,371967
2023.12,필러,3304999000,VN,베트남,25002718,464111
2023.12,필러,3304999000,HK,홍콩,4767974,129002
2023.12,필러,3304999000,FR,프랑스,1424978,9305
2023.12,필러,3304999000,PL,폴란드,1864955,51057
2023.12,필러,3304999000,GB,영국,3296950,69775
2023.12,필러,3304999000,OTHER,기타,66736242,2124216
2024.01,필러,3304999000,US,미국,21448994,869829
2024.01,필러,3304999000,CN,중국,42265381,1669351
2024.01,필러,3304999000,JP,일본,15349130,394173
2024.01,필러,3304999000,VN,베트남,24337684,385222
2024.01,필러,3304999000,HK,홍콩,5432860,129363
2024.01,필러,3304999000,FR,프랑스,556673,9464
2024.01,필러,3304999000,PL,폴란드,3473308,126653
2024.01,필러,3304999000,GB,영국,3912549,126380
2024.01,필러,3304999000,OTHER,기타,66956971,2191269
2024.02,필러,3304999000,US,미국,20075410,723333
2024.02,필러,3304999000,CN,중국,41307695,1155150
2024.02,필러,3304999000,JP,일본,17710638,470104
2024.02,필러,3304999000,VN,베트남,18231609,322136
2024.02,필러,3304999000,HK,홍콩,5041953,104998
2024.02,필러,3304999000,FR,프랑스,710997,7031
2024.02,필러,3304999000,PL,폴란드,2250981,73314
2024.02,필러,3304999000,GB,영국,3214539,89459
2024.02,필러,3304999000,OTHER,기타,69397388,2012394
2024.03,필러,3304999000,US,미국,20977358,649361
2024.03,필러,3304999000,CN,중국,43239376,1403320
2024.03,필러,3304999000,JP,일본,21745964,534758
2024.03,필러,3304999000,VN,베트남,16347614,447978
2024.03,필러,3304999000,HK,홍콩,6775958,161156
2024.03,필러,3304999000,FR,프랑스,470030,5906
2024.03,필러,3304999000,PL,폴란드,2941246,88456
2024.03,필러,3304999000,GB,영국,4003359,91746
2024.03,필러,3304999000,OTHER,기타,71506245,2225948
2024.04,필러,3304999000,US,미국,26275871,1087378
2024.04,필러,3304999000,CN,중국,40079730,1273280
2024.04,필러,3304999000,JP,일본,20514802,483654
2024.04,필러,3304999000,VN,베트남,15174460,409374
2024.04,필러,3304999000,HK,홍콩,6354695,161927
2024.04,필러,3304999000,FR,프랑스,1129756,14966
2024.04,필러,3304999000,PL,폴란드,3842138,143261
2024.04,필러,3304999000,GB,영국,4540672,92101
2024.04,필러,3304999000,OTHER,기타,73788030,2261441
2024.05,필러,3304999000,US,미국,27482671,1042737
2024.05,필러,3304999000,CN,중국,49535274,1489772
2024.05,필러,3304999000,JP,일본,14450863,328960
2024.05,필러,3304999000,VN,베트남,15499198,394522
2024.05,필러,3304999000,HK,홍콩,6589265,149937
2024.05,필러,3304999000,FR,프랑스,675267,3685
2024.05,필러,3304999000,PL,폴란드,3250128,94004
2024.05,필러,3304999000,GB,영국,3948249,56678
2024.05,필러,3304999000,OTHER,기타,80677720,2622298
2024.06,필러,3304999000,US,미국,25026471,905854
2024.06,필러,3304999000,CN,중국,40973904,900776
2024.06,필러,3304999000,JP,일본,16308430,400193
2024.06,필러,3304999000,VN,베트남,11752647,264900
2024.06,필러,3304999000,HK,홍콩,5521264,124179
2024.06,필러,3304999000,FR,프랑스,691331,4825
2024.06,필러,3304999000,PL,폴란드,3123359,92929
2024.06,필러,3304999000,GB,영국,3914867,81300
2024.06,필러,3304999000,OTHER,기타,89056469,2572024
2024.07,필러,3304999000,US,미국,30979466,1158667
2024.07,필러,3304999000,CN,중국,35254345,984260
2024.07,필러,3304999000,JP,일본,13666418,446728
2024.07,필러,3304999000,VN,베트남,14298668,320035
2024.07,필러,3304999000,HK,홍콩,8367777,168880
2024.07,필러,3304999000,FR,프랑스,792091,9354
2024.07,필러,3304999000,PL,폴란드,2538281,152124
2024.07,필러,3304999000,GB,영국,5295257,223427
2024.07,필러,3304999000,OTHER,기타,78156554,2623208
2024.08,필러,3304999000,US,미국,31327120,1113817
2024.08,필러,3304999000,CN,중국,31339773,918432
2024.08,필러,3304999000,JP,일본,13358868,361092
2024.08,필러,3304999000,VN,베트남,11880256,292597
2024.08,필러,3304999000,HK,홍콩,7674658,153046
2024.08,필러,3304999000,FR,프랑스,736073,14135
2024.08,필러,3304999000,PL,폴란드,2876193,119064
2024.08,필러,3304999000,GB,영국,4475788,175647
2024.08,필러,3304999000,OTHER,기타,81478382,2345082
2024.09,필러,3304999000,US,미국,39887301,1238362
2024.09,필러,3304999000,CN,중국,49523885,1195753
2024.09,필러,3304999000,JP,일본,19219127,506737
2024.09,필러,3304999000,VN,베트남,11543226,340051
2024.09,필러,3304999000,HK,홍콩,6223766,208532
2024.09,필러,3304999000,FR,프랑스,637626,12446
2024.09,필러,3304999000,PL,폴란드,2800279,127022
2024.09,필러,3304999000,GB,영국,4815825,171578
2024.09,필러,3304999000,OTHER,기타,90385114,2599800
2024.10,필러,3304999000,US,미국,31329217,1110203
2024.10,필러,3304999000,CN,중국,44611635,1259769
2024.10,필러,3304999000,JP,일본,15292517,364424
2024.10,필러,3304999000,VN,베트남,15205094,384360
2024.10,필러,3304999000,HK,홍콩,7836540,181537
2024.10,필러,3304999000,FR,프랑스,962070,19991
2024.10,필러,3304999000,PL,폴란드,2820599,116384
2024.10,필러,3304999000,GB,영국,4220461,90980
2024.10,필러,3304999000,OTHER,기타,83914290,2674357
2024.11,필러,3304999000,US,미국,36783609,1213415
2024.11,필러,3304999000,CN,중국,34620419,981558
2024.11,필러,3304999000,JP,일본,23230759,553417
2024.11,필러,3304999000,VN,베트남,18821842,409451
2024.11,필러,3304999000,HK,홍콩,9409056,206190
2024.11,필러,3304999000,FR,프랑스,837131,27531
2024.11,필러,3304999000,PL,폴란드,3058868,140407
2024.11,필러,3304999000,GB,영국,4083517,84684
2024.11,필러,3304999000,OTHER,기타,97154050,2657001
2024.12,필러,3304999000,US,미국,33652358,1237931
2024.12,필러,3304999000,CN,중국,50258533,1142431
2024.12,필러,3304999000,JP,일본,16150062,325464
2024.12,필러,3304999000,VN,베트남,17851201,2150284
2024.12,필러,3304999000,HK,홍콩,20797589,243530
2024.12,필러,3304999000,FR,프랑스,736700,23692
2024.12,필러,3304999000,PL,폴란드,3445604,163297
2024.12,필러,3304999000,GB,영국,5410203,87923
2024.12,필러,3304999000,OTHER,기타,93878864,2685097
2025.01,필러,3304999000,US,미국,32085421,957854
2025.01,필러,3304999000,CN,중국,36111438,1098777
2025.01,필러,3304999000,JP,일본,13603300,335775
2025.01,필러,3304999000,VN,베트남,12166553,336178
2025.01,필러,3304999000,HK,홍콩,12165583,244284
2025.01,필러,3304999000,FR,프랑스,939495,11703
2025.01,필러,3304999000,PL,폴란드,3257140,115189
2025.01,필러,3304999000,GB,영국,4065890,129888
2025.01,필러,3304999000,OTHER,기타,75658070,2181562
2025.02,필러,3304999000,US,미국,24642346,873028
2025.02,필러,3304999000,CN,중국,42500282,1125259
2025.02,필러,3304999000,JP,일본,16825962,454267
