월,품목명,HS코드,수출금액_USD,수출중량_KG,수출단가_USD_per_KG,YoY_pct,MoM_pct
2020.01,기초화장품,3304991000,210669873,7857354,26.8118,,
2020.02,기초화장품,3304991000,231406789,8920492,25.941,,9.84
2020.03,기초화장품,3304991000,359223413,12386413,29.0014,,55.23
2020.04,기초화장품,3304991000,232843995,9213678,25.2716,,-35.18
2020.05,기초화장품,3304991000,252521139,9036463,27.9447,,8.45
2020.06,기초화장품,3304991000,261679370,10088445,25.9385,,3.63
2020.07,기초화장품,3304991000,282179661,10868219,25.9637,,7.83
2020.08,기초화장품,3304991000,283975162,11243225,25.2574,,0.64
2020.09,기초화장품,3304991000,386801664,15026645,25.7411,,36.21
2020.10,기초화장품,3304991000,350153979,13314089,26.2995,,-9.47
2020.11,기초화장품,3304991000,379935941,12192532,31.1614,,8.51
2020.12,기초화장품,3304991000,316065843,10353348,30.5279,,-16.81
2021.01,기초화장품,3304991000,400839229,11781914,34.0216,90.27,26.82
2021.02,기초화장품,3304991000,304810733,10723002,28.4259,31.72,-23.96
2021.03,기초화장품,3304991000,425244057,13859058,30.6835,18.38,39.51
2021.04,기초화장품,3304991000,457213474,15461589,29.5709,96.36,7.52
2021.05,기초화장품,3304991000,390996976,13016414,30.0388,54.84,-14.48
2021.06,기초화장품,3304991000,340359168,12270695,27.7376,30.07,-12.95
2021.07,기초화장품,3304991000,330918159,13240927,24.9921,17.27,-2.77
2021.08,기초화장품,3304991000,363020877,12928695,28.0787,27.84,9.7
2021.09,기초화장품,3304991000,448119506,15312545,29.2649,15.85,23.44
2021.10,기초화장품,3304991000,413765593,14071152,29.4052,18.17,-7.67
2021.11,기초화장품,3304991000,510086277,13085263,38.9817,34.26,23.28
2021.12,기초화장품,3304991000,324059098,10387572,31.1968,2.53,-36.47
2022.01,기초화장품,3304991000,251683066,8984233,28.0139,-37.21,-22.33
2022.02,기초화장품,3304991000,258083010,9195928,28.0649,-15.33,2.54
2022.03,기초화장품,3304991000,319068077,11106936,28.7269,-24.97,23.63
2022.04,기초화장품,3304991000,334287124,11117721,30.068,-26.89,4.77
2022.05,기초화장품,3304991000,421961929,12726637,33.1558,7.92,26.23
2022.06,기초화장품,3304991000,283326319,10365429,27.3338,-16.76,-32.86
2022.07,기초화장품,3304991000,277974606,10391768,26.7495,-16.0,-1.89
2022.08,기초화장품,3304991000,273952287,9563800,28.6447,-24.54,-1.45
2022.09,기초화장품,3304991000,346642749,11757543,29.4826,-22.65,26.53
2022.10,기초화장품,3304991000,341829467,10144777,33.6951,-17.39,-1.39
2022.11,기초화장품,3304991000,287382263,10269724,27.9834,-43.66,-15.93
2022.12,기초화장품,3304991000,249501019,9326376,26.7522,-23.01,-13.18
2023.01,기초화장품,3304991000,187617611,7850103,23.9,-25.45,-24.8
2023.02,기초화장품,3304991000,284095325,11140608,25.5009,10.08,51.42
2023.03,기초화장품,3304991000,339754186,12352288,27.5054,6.48,19.59
2023.04,기초화장품,3304991000,303711441,11557899,26.2774,-9.15,-10.61
2023.05,기초화장품,3304991000,385240251,12287073,31.3533,-8.7,26.84
2023.06,기초화장품,3304991000,332482789,12045169,27.603,17.35,-13.69
2023.07,기초화장품,3304991000,286817779,10994432,26.0875,3.18,-13.73
2023.08,기초화장품,3304991000,327025260,12053152,27.1319,19.37,14.02
2023.09,기초화장품,3304991000,386808448,15521885,24.9202,11.59,18.28
2023.10,기초화장품,3304991000,341870543,13917893,24.5634,0.01,-11.62
2023.11,기초화장품,3304991000,341524542,13385836,25.5139,18.84,-0.1
2023.12,기초화장품,3304991000,301890102,11185239,26.99,21.0,-11.61
2024.01,기초화장품,3304991000,373357745,12806712,29.1533,99.0,23.67
2024.02,기초화장품,3304991000,311078720,11051318,28.1486,9.5,-16.68
2024.03,기초화장품,3304991000,332849451,12435515,26.766,-2.03,7.0
2024.04,기초화장품,3304991000,394461799,14557237,27.0973,29.88,18.51
2024.05,기초화장품,3304991000,392542969,14515438,27.0431,1.9,-0.49
2024.06,기초화장품,3304991000,333054117,12316704,27.0408,0.17,-15.15
2024.07,기초화장품,3304991000,366587107,13628029,26.8995,27.81,10.07
2024.08,기초화장품,3304991000,374407216,13303309,28.1439,14.49,2.13
2024.09,기초화장품,3304991000,402819652,13650082,29.5104,4.14,7.59
2024.10,기초화장품,3304991000,513720690,15014932,34.214,50.27,27.53
2024.11,기초화장품,3304991000,399223373,13232186,30.1706,16.89,-22.29
2024.12,기초화장품,3304991000,351729363,12836018,27.4018,16.51,-11.9
2025.01,기초화장품,3304991000,314778843,10672681,29.4939,-15.69,-10.51
2025.02,기초화장품,3304991000,383218430,13162117,29.1153,23.19,21.74
2025.03,기초화장품,3304991000,406719068,13843965,29.3788,22.19,6.13
2025.04,기초화장품,3304991000,430788285,15928604,27.0449,9.21,5.92
2025.05,기초화장품,3304991000,402088465,14122485,28.4715,2.43,-6.66
2025.06,기초화장품,3304991000,394229700,13842733,28.4792,18.37,-1.95
2025.07,기초화장품,3304991000,401556244,14679726,27.3545,9.54,1.86
2025.08,기초화장품,3304991000,354854834,13528436,26.2303,-5.22,-11.63
2025.09,기초화장품,3304991000,462874391,17638749,26.2419,14.91,30.44
2025.10,기초화장품,3304991000,375367903,13690514,27.4181,-26.93,-18.91
2025.11,기초화장품,3304991000,390952741,13861440,28.2043,-2.07,4.15
2025.12,기초화장품,3304991000,441223742,15670785,28.1558,25.44,12.86
2026.01,기초화장품,3304991000,425428067,14707492,28.9259,35.15,-3.58
2026.02,기초화장품,3304991000,383690814,12957530,29.6114,0.12,-9.81
2026.03,기초화장품,3304991000,499375357,17058942,29.2735,22.78,30.15
2026.04,기초화장품,3304991000,562650535,19584165,28.7299,30.61,12.67
2026.05,기초화장품,3304991000,509929495,16617573,30.6862,26.82,-9.37
2026.06,기초화장품,3304991000,555149989,18703474,29.6817,40.82,8.87
2026.07,기초화장품,3304991000,527127585,18606190,28.3308,31.27,-5.05
2026.08,기초화장품,3304991000,530050539,15658728,33.8502,49.37,0.55
