월,대표품목,조회_HS코드,세부_HS코드,세부품목명,수출금액_USD,수출중량_KG,수입금액_USD,수입중량_KG
2020.01,필러,3304999000,3304999000,기타,99890111,4882301,23552224,224474
2020.02,필러,3304999000,3304999000,기타,115313755,5482876,24342714,276375
2020.03,필러,3304999000,3304999000,기타,154204528,7296497,16286106,232421
2020.04,필러,3304999000,3304999000,기타,118267827,6917465,14322668,221029
2020.05,필러,3304999000,3304999000,기타,127720056,8895880,7683435,174676
2020.06,필러,3304999000,3304999000,기타,115595913,6390160,7954664,180344
2020.07,필러,3304999000,3304999000,기타,119250867,5463639,12706520,191517
2020.08,필러,3304999000,3304999000,기타,124510740,5910905,9586611,137645
2020.09,필러,3304999000,3304999000,기타,182037878,8152225,10580759,164968
2020.10,필러,3304999000,3304999000,기타,155262999,6882864,10765412,196746
2020.11,필러,3304999000,3304999000,기타,154264451,6306397,8911190,199387
2020.12,필러,3304999000,3304999000,기타,161907580,5249454,11275023,216450
2021.01,필러,3304999000,3304999000,기타,145355227,5914257,11830142,208293
2021.02,필러,3304999000,3304999000,기타,138287560,5657082,12463651,216671
2021.03,필러,3304999000,3304999000,기타,188926111,7361064,11207792,216119
2021.04,필러,3304999000,3304999000,기타,178226882,7130872,12965327,221054
2021.05,필러,3304999000,3304999000,기타,172565455,6945676,11734682,191524
2021.06,필러,3304999000,3304999000,기타,153830541,6027486,11084364,185450
2021.07,필러,3304999000,3304999000,기타,127515877,5609053,12883145,200518
2021.08,필러,3304999000,3304999000,기타,125475453,5169174,12331108,187707
2021.09,필러,3304999000,3304999000,기타,173429212,6190644,8914137,164732
2021.10,필러,3304999000,3304999000,기타,139225001,6267716,11895721,206136
2021.11,필러,3304999000,3304999000,기타,137305075,5478307,9213334,163996
2021.12,필러,3304999000,3304999000,기타,140074991,4914596,12717170,218434
2022.01,필러,3304999000,3304999000,기타,118644063,4315865,12938527,231099
2022.02,필러,3304999000,3304999000,기타,129174656,4669519,11192587,199815
2022.03,필러,3304999000,3304999000,기타,158089735,5474630,16572591,265320
2022.04,필러,3304999000,3304999000,기타,153874564,4954965,13011013,226813
2022.05,필러,3304999000,3304999000,기타,188240114,5912918,14400775,243214
2022.06,필러,3304999000,3304999000,기타,162328193,5441870,11672631,199995
2022.07,필러,3304999000,3304999000,기타,144938266,5372734,11540255,170466
2022.08,필러,3304999000,3304999000,기타,146620322,4893763,13201964,205850
2022.09,필러,3304999000,3304999000,기타,166722615,6221344,16895513,224987
2022.10,필러,3304999000,3304999000,기타,143506128,5314691,14204261,191038
2022.11,필러,3304999000,3304999000,기타,162964998,5144793,11007972,194664
2022.12,필러,3304999000,3304999000,기타,156560420,4798896,15450384,238790
2023.01,필러,3304999000,3304999000,기타,120503449,3546895,10380498,154890
2023.02,필러,3304999000,3304999000,기타,167417730,5088957,17197653,226415
2023.03,필러,3304999000,3304999000,기타,195690432,6433428,22765182,274968
2023.04,필러,3304999000,3304999000,기타,166095366,5216633,12139524,179304
2023.05,필러,3304999000,3304999000,기타,168473560,4926575,15780591,261296
2023.06,필러,3304999000,3304999000,기타,188870543,5154801,13357605,216888
2023.07,필러,3304999000,3304999000,기타,154402657,4636739,12969504,210553
2023.08,필러,3304999000,3304999000,기타,156678299,5016023,16282450,282995
2023.09,필러,3304999000,3304999000,기타,189917732,5959323,11864157,189724
2023.10,필러,3304999000,3304999000,기타,175788950,5330988,16208723,211062
2023.11,필러,3304999000,3304999000,기타,185225989,6018884,15117464,203184
2023.12,필러,3304999000,3304999000,기타,177781425,5375816,12956799,226635
2024.01,필러,3304999000,3304999000,기타,183733550,5901704,15632974,238642
2024.02,필러,3304999000,3304999000,기타,177941210,4957919,14248359,216434
2024.03,필러,3304999000,3304999000,기타,188007150,5608629,18028156,270069
2024.04,필러,3304999000,3304999000,기타,191700154,5927382,18421462,254881
2024.05,필러,3304999000,3304999000,기타,202108635,6182593,19899478,267393
2024.06,필러,3304999000,3304999000,기타,196368742,5346980,13931848,263396
2024.07,필러,3304999000,3304999000,기타,189348857,6086683,18893524,268498
2024.08,필러,3304999000,3304999000,기타,185147111,5492912,16268953,216336
2024.09,필러,3304999000,3304999000,기타,225036149,6400281,14820882,244994
2024.10,필러,3304999000,3304999000,기타,206192423,6202005,16742280,247476
2024.11,필러,3304999000,3304999000,기타,227999251,6273654,21214616,220676
2024.12,필러,3304999000,3304999000,기타,242181114,8059649,20362611,243013
2025.01,필러,3304999000,3304999000,기타,190052890,5411210,15767710,234341
2025.02,필러,3304999000,3304999000,기타,213266222,6240760,19205304,246163
2025.03,필러,3304999000,3304999000,기타,233709700,6718061,26492065,291238
2025.04,필러,3304999000,3304999000,기타,262962226,7996348,24303632,281419
2025.05,필러,3304999000,3304999000,기타,240015652,7405150,18845594,240953
