월,HS코드,국가코드,국가명,수출금액_USD,수출중량_KG
2026.06,330499,VN,베트남,33792479,1047140
2026.06,330499,HK,홍콩,65656530,1559642
2026.06,330499,FR,프랑스,10406080,292765
2026.06,330499,OTHER,기타,505251515,15030807
2026.07,330499,US,미국,214574743,7997350
2026.07,330499,CN,중국,133265621,4493257
2026.07,330499,JP,일본,60022018,2074433
2026.07,330499,VN,베트남,34018846,981879
2026.07,330499,HK,홍콩,38063623,1058862
2026.07,330499,FR,프랑스,10858332,260222
2026.07,330499,OTHER,기타,534367312,15194335
2026.08,330499,US,미국,192122255,6945619
2026.08,330499,CN,중국,118199610,4252500
2026.08,330499,JP,일본,73479453,1919581
2026.08,330499,VN,베트남,28530693,901919
2026.08,330499,HK,홍콩,32910355,971823
2026.08,330499,FR,프랑스,7890013,239342
2026.08,330499,OTHER,기타,560528756,12740795
