월,대표품목,조회_HS코드,세부_HS코드,세부품목명,수출금액_USD,수출중량_KG,수입금액_USD,수입중량_KG
2020.01,소켓,8536909090,8536909090,기타,57684109,736295,19267396,204789
2020.02,소켓,8536909090,8536909090,기타,55437273,1002867,14719669,143686
2020.03,소켓,8536909090,8536909090,기타,57576999,930424,20932891,271522
2020.04,소켓,8536909090,8536909090,기타,50090013,901151,17669573,216730
2020.05,소켓,8536909090,8536909090,기타,43534790,759160,12179172,150420
2020.06,소켓,8536909090,8536909090,기타,55308227,827059,14731277,207670
2020.07,소켓,8536909090,8536909090,기타,67478837,1243180,15976017,184733
2020.08,소켓,8536909090,8536909090,기타,61707522,833183,14600024,168800
2020.09,소켓,8536909090,8536909090,기타,64884188,1282692,15171390,180324
2020.10,소켓,8536909090,8536909090,기타,65174670,1171933,16891689,163000
2020.11,소켓,8536909090,8536909090,기타,71072016,1170893,17657380,220420
2020.12,소켓,8536909090,8536909090,기타,77249186,1423983,19092777,206026
2021.01,소켓,8536909090,8536909090,기타,74124108,1280363,21015049,230293
2021.02,소켓,8536909090,8536909090,기타,66639698,1032675,16831508,219279
2021.03,소켓,8536909090,8536909090,기타,74834335,1331491,20033304,277924
2021.04,소켓,8536909090,8536909090,기타,70510485,1303535,20525635,299140
2021.05,소켓,8536909090,8536909090,기타,65654496,1241113,19648868,250421
2021.06,소켓,8536909090,8536909090,기타,76616948,1457253,20268182,299198
2021.07,소켓,8536909090,8536909090,기타,81317952,1231190,20423166,254220
2021.08,소켓,8536909090,8536909090,기타,67644481,931042,17554515,302868
2021.09,소켓,8536909090,8536909090,기타,66193531,1051805,17652685,270380
2021.10,소켓,8536909090,8536909090,기타,68254176,1178943,17294856,263411
2021.11,소켓,8536909090,8536909090,기타,79802030,1244533,17806612,265781
2021.12,소켓,8536909090,8536909090,기타,83432075,1319416,19930902,229169
2022.01,소켓,8536909090,8536909090,기타,78119005,1209534,19052752,260587
2022.02,소켓,8536909090,8536909090,기타,75387131,1134722,16185266,201903
2022.03,소켓,8536909090,8536909090,기타,95054236,1418030,20699615,256606
2022.04,소켓,8536909090,8536909090,기타,86634002,1325792,19057483,264809
2022.05,소켓,8536909090,8536909090,기타,73435911,1276488,20939612,313980
2022.06,소켓,8536909090,8536909090,기타,72999979,1310297,19405219,260254
2022.07,소켓,8536909090,8536909090,기타,76401507,1421615,19568212,257433
2022.08,소켓,8536909090,8536909090,기타,69420285,1263784,18893956,252210
2022.09,소켓,8536909090,8536909090,기타,75730826,1502142,17723317,218934
2022.10,소켓,8536909090,8536909090,기타,71685560,1309482,17563428,225670
2022.11,소켓,8536909090,8536909090,기타,75803446,1243293,18899887,270807
2022.12,소켓,8536909090,8536909090,기타,80064335,1485628,19184918,239934
2023.01,소켓,8536909090,8536909090,기타,70679757,1146587,18315985,260542
2023.02,소켓,8536909090,8536909090,기타,69126216,1269799,15079180,175164
2023.03,소켓,8536909090,8536909090,기타,77699850,1548069,19914428,311525
2023.04,소켓,8536909090,8536909090,기타,64260749,1309871,19041638,215451
2023.05,소켓,8536909090,8536909090,기타,73353729,1514602,17449063,211601
2023.06,소켓,8536909090,8536909090,기타,81673854,1813848,19039501,236253
2023.07,소켓,8536909090,8536909090,기타,77976112,1633659,19089404,261753
2023.08,소켓,8536909090,8536909090,기타,75209481,1723144,21377003,255727
2023.09,소켓,8536909090,8536909090,기타,69420694,1514835,17922492,226137
2023.10,소켓,8536909090,8536909090,기타,60009775,1285896,18349251,221841
2023.11,소켓,8536909090,8536909090,기타,59056665,1192736,18115623,211254
2023.12,소켓,8536909090,8536909090,기타,51418193,1041251,19448893,217634
2024.01,소켓,8536909090,8536909090,기타,67613989,1380912,20308648,243146
2024.02,소켓,8536909090,8536909090,기타,65123824,1461997,16932814,214150
2024.03,소켓,8536909090,8536909090,기타,66230226,1473478,18947442,215555
2024.04,소켓,8536909090,8536909090,기타,68215995,1570540,21690014,243748
2024.05,소켓,8536909090,8536909090,기타,73601066,1688441,19243113,226180
2024.06,소켓,8536909090,8536909090,기타,73706658,1509936,20314523,239077
2024.07,소켓,8536909090,8536909090,기타,71607345,1466370,22772083,243638
2024.08,소켓,8536909090,8536909090,기타,69810905,1452878,21556788,220986
2024.09,소켓,8536909090,8536909090,기타,69531740,1372376,20513675,249100
2024.10,소켓,8536909090,8536909090,기타,72037050,1604102,23154219,269424
2024.11,소켓,8536909090,8536909090,기타,67384271,1374212,19097538,237962
2024.12,소켓,8536909090,8536909090,기타,72617346,1412814,23413752,287576
2025.01,소켓,8536909090,8536909090,기타,60184976,1172067,18206392,240144
2025.02,소켓,8536909090,8536909090,기타,65338667,1319554,20208740,186256
2025.03,소켓,8536909090,8536909090,기타,72337417,1449039,22935538,231061
