월,대표품목,조회_HS코드,세부_HS코드,세부품목명,수출금액_USD,수출중량_KG,수입금액_USD,수입중량_KG
2020.01,양극재 NCM,2841909020,2841909000,기타,167240815,6785464,70329124,3037019
2020.02,양극재 NCM,2841909020,2841909000,기타,152535566,6649762,41755310,2044428
2020.03,양극재 NCM,2841909020,2841909000,기타,201348735,8450001,52687827,2639700
2020.04,양극재 NCM,2841909020,2841909000,기타,141337430,6126058,49815185,2290676
2020.05,양극재 NCM,2841909020,2841909000,기타,126790722,5657758,36147891,1781885
2020.06,양극재 NCM,2841909020,2841909000,기타,140183402,6116690,43841833,2452374
2020.07,양극재 NCM,2841909020,2841909000,기타,159739544,7289080,49546647,2415052
2020.08,양극재 NCM,2841909020,2841909000,기타,156471496,7045710,40901608,2298827
2020.09,양극재 NCM,2841909020,2841909000,기타,241669170,11326452,52489033,2700900
2020.10,양극재 NCM,2841909020,2841909000,기타,261033721,12011438,46623947,2582738
2020.11,양극재 NCM,2841909020,2841909000,기타,292281753,13471444,60432852,3132053
2020.12,양극재 NCM,2841909020,2841909000,기타,324845190,14802639,50352350,2872231
2021.01,양극재 NCM,2841909020,2841909000,기타,304804574,14195422,51612313,2911155
2021.02,양극재 NCM,2841909020,2841909000,기타,279407944,12934909,61256498,3273506
2021.03,양극재 NCM,2841909020,2841909000,기타,324336594,14399896,89394801,4508610
2021.04,양극재 NCM,2841909020,2841909000,기타,349850062,14387115,83486630,4026885
2021.05,양극재 NCM,2841909020,2841909000,기타,348466390,14730907,75392833,3346493
2021.06,양극재 NCM,2841909020,2841909000,기타,358852381,15058578,73516410,3247227
2021.07,양극재 NCM,2841909020,2841909000,기타,334564905,13889376,85837112,3835567
2021.08,양극재 NCM,2841909020,2841909000,기타,387296700,15846497,90227778,4097879
2021.09,양극재 NCM,2841909020,2841909000,기타,395237141,15868007,77513597,3425304
2021.10,양극재 NCM,2841909020,2841909000,기타,355783456,14092080,80421408,3632112
2021.11,양극재 NCM,2841909020,2841909000,기타,366472997,13878993,105455279,4288543
2021.12,양극재 NCM,2841909020,2841909000,기타,502350627,18233696,141238305,5439599
2022.01,양극재 NCM,2841909020,2841909020,니켈코발트망간 산화물의 리튬염,431643066,14185894,116433972,4122714
2022.02,양극재 NCM,2841909020,2841909020,니켈코발트망간 산화물의 리튬염,435555391,14251159,109583703,3449687
2022.03,양극재 NCM,2841909020,2841909020,니켈코발트망간 산화물의 리튬염,569464301,16747199,190423749,5269925
2022.04,양극재 NCM,2841909020,2841909020,니켈코발트망간 산화물의 리튬염,518514186,12732035,199280926,5116173
2022.05,양극재 NCM,2841909020,2841909020,니켈코발트망간 산화물의 리튬염,761563427,16480096,262738150,5728319
2022.06,양극재 NCM,2841909020,2841909020,니켈코발트망간 산화물의 리튬염,762861472,16123856,321387500,6419409
2022.07,양극재 NCM,2841909020,2841909020,니켈코발트망간 산화물의 리튬염,896900962,18387414,338271675,7117146
2022.08,양극재 NCM,2841909020,2841909020,니켈코발트망간 산화물의 리튬염,941120519,19764599,302581050,6633827
2022.09,양극재 NCM,2841909020,2841909020,니켈코발트망간 산화물의 리튬염,861227649,18384232,265830957,6266174
2022.10,양극재 NCM,2841909020,2841909020,니켈코발트망간 산화물의 리튬염,745154376,15741284,290508959,7098981
2022.11,양극재 NCM,2841909020,2841909020,니켈코발트망간 산화물의 리튬염,868512732,18578930,270943364,6582040
2022.12,양극재 NCM,2841909020,2841909020,니켈코발트망간 산화물의 리튬염,802104084,17695370,232314733,5196869
2023.01,양극재 NCM,2841909020,2841909020,니켈코발트망간 산화물의 리튬염,930843126,18585792,229694494,5039651
2023.02,양극재 NCM,2841909020,2841909020,니켈코발트망간 산화물의 리튬염,1071892519,20935073,268116872,5730597
2023.03,양극재 NCM,2841909020,2841909020,니켈코발트망간 산화물의 리튬염,1157169706,21860684,322672096,7087513
2023.04,양극재 NCM,2841909020,2841909020,니켈코발트망간 산화물의 리튬염,1064233046,20189535,326268980,6745831
2023.05,양극재 NCM,2841909020,2841909020,니켈코발트망간 산화물의 리튬염,963200773,19515743,277506251,6161223
2023.06,양극재 NCM,2841909020,2841909020,니켈코발트망간 산화물의 리튬염,729804137,16485131,203321092,5159021
