월,대표품목,조회_HS코드,세부_HS코드,세부품목명,수출금액_USD,수출중량_KG,수입금액_USD,수입중량_KG
2020.01,화장품,330499,3304991000,기초화장용 제품류,210669873,7857354,40496234,1626362
2020.01,화장품,330499,3304992000,메이크업용 제품류,38676925,754709,5761034,68893
2020.01,화장품,330499,3304993000,어린이용 제품류,1214861,130508,876072,103174
2020.01,화장품,330499,3304999000,기타,99890111,4882301,23552224,224474
2020.02,화장품,330499,3304991000,기초화장용 제품류,231406789,8920492,41508411,1578112
2020.02,화장품,330499,3304992000,메이크업용 제품류,40009004,756988,5257792,65654
2020.02,화장품,330499,3304993000,어린이용 제품류,846014,122305,1301360,149264
2020.02,화장품,330499,3304999000,기타,115313755,5482876,24342714,276375
2020.03,화장품,330499,3304991000,기초화장용 제품류,359223413,12386413,42227756,1788235
2020.03,화장품,330499,3304992000,메이크업용 제품류,55027463,918648,6393754,83295
2020.03,화장품,330499,3304993000,어린이용 제품류,2072959,220114,1443469,106611
2020.03,화장품,330499,3304999000,기타,154204528,7296497,16286106,232421
2020.04,화장품,330499,3304991000,기초화장용 제품류,232843995,9213678,38312468,1663009
2020.04,화장품,330499,3304992000,메이크업용 제품류,41276278,770120,3994557,57070
2020.04,화장품,330499,3304993000,어린이용 제품류,1531418,180270,1366328,161218
2020.04,화장품,330499,3304999000,기타,118267827,6917465,14322668,221029
2020.05,화장품,330499,3304991000,기초화장용 제품류,252521139,9036463,32520801,1305227
2020.05,화장품,330499,3304992000,메이크업용 제품류,30046768,598185,3734648,43921
2020.05,화장품,330499,3304993000,어린이용 제품류,1561703,165982,704911,71702
2020.05,화장품,330499,3304999000,기타,127720056,8895880,7683435,174676
2020.06,화장품,330499,3304991000,기초화장용 제품류,261679370,10088445,37513869,1733978
2020.06,화장품,330499,3304992000,메이크업용 제품류,28473685,573125,3856877,62062
2020.06,화장품,330499,3304993000,어린이용 제품류,1834506,214076,758713,72827
2020.06,화장품,330499,3304999000,기타,115595913,6390160,7954664,180344
2020.07,화장품,330499,3304991000,기초화장용 제품류,282179661,10868219,40773228,1648083
2020.07,화장품,330499,3304992000,메이크업용 제품류,35610234,637077,5438991,58728
2020.07,화장품,330499,3304993000,어린이용 제품류,1923239,317267,601134,60907
2020.07,화장품,330499,3304999000,기타,119250867,5463639,12706520,191517
2020.08,화장품,330499,3304991000,기초화장용 제품류,283975162,11243225,41677313,1697564
2020.08,화장품,330499,3304992000,메이크업용 제품류,32615753,659539,5106824,63516
2020.08,화장품,330499,3304993000,어린이용 제품류,1564888,139943,719268,88181
2020.08,화장품,330499,3304999000,기타,124510740,5910905,9586611,137645
2020.09,화장품,330499,3304991000,기초화장용 제품류,386801664,15026645,43463731,1689646
2020.09,화장품,330499,3304992000,메이크업용 제품류,59432324,1003129,4810866,49942
2020.09,화장품,330499,3304993000,어린이용 제품류,3492088,199285,983453,116224
2020.09,화장품,330499,3304999000,기타,182037878,8152225,10580759,164968
2020.10,화장품,330499,3304991000,기초화장용 제품류,350153979,13314089,43753282,1865234
2020.10,화장품,330499,3304992000,메이크업용 제품류,44004693,710029,4695931,54170
2020.10,화장품,330499,3304993000,어린이용 제품류,3172441,300273,856260,79904
2020.10,화장품,330499,3304999000,기타,155262999,6882864,10765412,196746
2020.11,화장품,330499,3304991000,기초화장용 제품류,379935941,12192532,48798748,1831600
2020.11,화장품,330499,3304992000,메이크업용 제품류,48452378,760605,5186361,55252
2020.11,화장품,330499,3304993000,어린이용 제품류,2809577,231977,1151820,118281
2020.11,화장품,330499,3304999000,기타,154264451,6306397,8911190,199387
2020.12,화장품,330499,3304991000,기초화장용 제품류,316065843,10353348,47613083,1583134
2020.12,화장품,330499,3304992000,메이크업용 제품류,41615439,779451,4996994,57044
2020.12,화장품,330499,3304993000,어린이용 제품류,4779993,335029,1028683,112706
2020.12,화장품,330499,3304999000,기타,161907580,5249454,11275023,216450
2021.01,화장품,330499,3304991000,기초화장용 제품류,400839229,11781914,45130744,1559718
