월,품목명,HS코드,국가코드,국가명,수출금액_USD,수출중량_KG
2020.01,동박,7410211000,US,미국,316828,4399
2020.01,동박,7410211000,CN,중국,9187420,125206
2020.01,동박,7410211000,JP,일본,1594695,31066
2020.01,동박,7410211000,VN,베트남,4037636,67274
2020.01,동박,7410211000,HK,홍콩,938669,18501
2020.01,동박,7410211000,TW,대만,4309343,53498
2020.01,동박,7410211000,FR,프랑스,18723,68
2020.01,동박,7410211000,PL,폴란드,0,0
2020.01,동박,7410211000,GB,영국,0,0
2020.01,동박,7410211000,OTHER,기타,471247,61089
2020.02,동박,7410211000,US,미국,543047,9208
2020.02,동박,7410211000,CN,중국,9819873,148161
2020.02,동박,7410211000,JP,일본,1280085,22571
2020.02,동박,7410211000,VN,베트남,3157252,45168
2020.02,동박,7410211000,HK,홍콩,1070383,21049
2020.02,동박,7410211000,TW,대만,3177772,39219
2020.02,동박,7410211000,FR,프랑스,66364,480
2020.02,동박,7410211000,PL,폴란드,0,0
2020.02,동박,7410211000,GB,영국,0,0
2020.02,동박,7410211000,OTHER,기타,263408,53368
2020.03,동박,7410211000,US,미국,297672,5988
2020.03,동박,7410211000,CN,중국,12527934,154167
2020.03,동박,7410211000,JP,일본,1852582,29153
2020.03,동박,7410211000,VN,베트남,4783287,65487
2020.03,동박,7410211000,HK,홍콩,1553738,41221
2020.03,동박,7410211000,TW,대만,4451254,56816
2020.03,동박,7410211000,FR,프랑스,45732,408
2020.03,동박,7410211000,PL,폴란드,0,0
2020.03,동박,7410211000,GB,영국,0,0
2020.03,동박,7410211000,OTHER,기타,290449,93946
2020.04,동박,7410211000,US,미국,339723,7122
2020.04,동박,7410211000,CN,중국,10845049,157984
2020.04,동박,7410211000,JP,일본,1189458,28615
2020.04,동박,7410211000,VN,베트남,3858336,55715
2020.04,동박,7410211000,HK,홍콩,1365460,26740
2020.04,동박,7410211000,TW,대만,5038119,63930
2020.04,동박,7410211000,FR,프랑스,17880,89
2020.04,동박,7410211000,PL,폴란드,0,0
2020.04,동박,7410211000,GB,영국,0,0
2020.04,동박,7410211000,OTHER,기타,329625,42505
2020.05,동박,7410211000,US,미국,316314,5477
2020.05,동박,7410211000,CN,중국,9291414,136839
2020.05,동박,7410211000,JP,일본,1455495,29091
2020.05,동박,7410211000,VN,베트남,5786549,76799
2020.05,동박,7410211000,HK,홍콩,913711,22928
2020.05,동박,7410211000,TW,대만,4961635,73099
2020.05,동박,7410211000,FR,프랑스,36567,303
2020.05,동박,7410211000,PL,폴란드,0,0
2020.05,동박,7410211000,GB,영국,0,0
2020.05,동박,7410211000,OTHER,기타,119527,1077
2020.06,동박,7410211000,US,미국,453587,8415
2020.06,동박,7410211000,CN,중국,9820149,157132
2020.06,동박,7410211000,JP,일본,1417554,27923
2020.06,동박,7410211000,VN,베트남,5702313,97925
2020.06,동박,7410211000,HK,홍콩,1890916,28660
2020.06,동박,7410211000,TW,대만,4836966,63576
2020.06,동박,7410211000,FR,프랑스,34976,257
2020.06,동박,7410211000,PL,폴란드,0,0
2020.06,동박,7410211000,GB,영국,4187,32
2020.06,동박,7410211000,OTHER,기타,320462,37297
2020.07,동박,7410211000,US,미국,593075,9768
2020.07,동박,7410211000,CN,중국,13172595,190750
2020.07,동박,7410211000,JP,일본,1848451,46088
2020.07,동박,7410211000,VN,베트남,6209754,109211
2020.07,동박,7410211000,HK,홍콩,1341813,20479
2020.07,동박,7410211000,TW,대만,4640389,65417
2020.07,동박,7410211000,FR,프랑스,21522,326
2020.07,동박,7410211000,PL,폴란드,0,0
2020.07,동박,7410211000,GB,영국,7517,44
2020.07,동박,7410211000,OTHER,기타,559127,139413
2020.08,동박,7410211000,US,미국,380117,3947
2020.08,동박,7410211000,CN,중국,12344304,153481
2020.08,동박,7410211000,JP,일본,641516,6506
2020.08,동박,7410211000,VN,베트남,4873087,76221
2020.08,동박,7410211000,HK,홍콩,1096735,17498
2020.08,동박,7410211000,TW,대만,4170083,53383
2020.08,동박,7410211000,FR,프랑스,14426,203
2020.08,동박,7410211000,PL,폴란드,0,0
2020.08,동박,7410211000,GB,영국,227,3
2020.08,동박,7410211000,OTHER,기타,350768,97163
2020.09,동박,7410211000,US,미국,408479,5184
2020.09,동박,7410211000,CN,중국,11869373,155258
2020.09,동박,7410211000,JP,일본,1930251,49927
2020.09,동박,7410211000,VN,베트남,4238057,80760
2020.09,동박,7410211000,HK,홍콩,1504889,20330
2020.09,동박,7410211000,TW,대만,4035557,49277
2020.09,동박,7410211000,FR,프랑스,5481,99
2020.09,동박,7410211000,PL,폴란드,1794,21
2020.09,동박,7410211000,GB,영국,250,2
2020.09,동박,7410211000,OTHER,기타,235501,26813
2020.10,동박,7410211000,US,미국,233028,3713
2020.10,동박,7410211000,CN,중국,10040155,147014
2020.10,동박,7410211000,JP,일본,1485908,16733
2020.10,동박,7410211000,VN,베트남,4406846,78450
2020.10,동박,7410211000,HK,홍콩,1239544,18492
2020.10,동박,7410211000,TW,대만,4264932,58837
2020.10,동박,7410211000,FR,프랑스,49357,372
2020.10,동박,7410211000,PL,폴란드,0,0
2020.10,동박,7410211000,GB,영국,4986,11
2020.10,동박,7410211000,OTHER,기타,194835,30018
2020.11,동박,7410211000,US,미국,293183,4145
2020.11,동박,7410211000,CN,중국,9418861,133006
2020.11,동박,7410211000,JP,일본,1406840,34193
2020.11,동박,7410211000,VN,베트남,3568061,60633
2020.11,동박,7410211000,HK,홍콩,1321537,33189
2020.11,동박,7410211000,TW,대만,5664628,78214
2020.11,동박,7410211000,FR,프랑스,5212,106
2020.11,동박,7410211000,PL,폴란드,0,0
2020.11,동박,7410211000,GB,영국,0,0
2020.11,동박,7410211000,OTHER,기타,592248,81993
2020.12,동박,7410211000,US,미국,260358,4126
2020.12,동박,7410211000,CN,중국,12427703,180880
2020.12,동박,7410211000,JP,일본,1323470,27644
2020.12,동박,7410211000,VN,베트남,4759009,76257
2020.12,동박,7410211000,HK,홍콩,1348125,23641
2020.12,동박,7410211000,TW,대만,4773590,66649
2020.12,동박,7410211000,FR,프랑스,7766,145
2020.12,동박,7410211000,PL,폴란드,0,0
2020.12,동박,7410211000,GB,영국,0,0
2020.12,동박,7410211000,OTHER,기타,548010,88141
2021.01,동박,7410211000,US,미국,284411,4728
2021.01,동박,7410211000,CN,중국,11491613,164744
2021.01,동박,7410211000,JP,일본,1193912,28809
2021.01,동박,7410211000,VN,베트남,4449509,84443
2021.01,동박,7410211000,HK,홍콩,1291517,16980
2021.01,동박,7410211000,TW,대만,4547279,55269
2021.01,동박,7410211000,FR,프랑스,15544,227
2021.01,동박,7410211000,PL,폴란드,0,0
2021.01,동박,7410211000,GB,영국,5761,32
2021.01,동박,7410211000,OTHER,기타,227533,101297
2021.02,동박,7410211000,US,미국,365933,8304
2021.02,동박,7410211000,CN,중국,9778441,132849
2021.02,동박,7410211000,JP,일본,1483612,22071
2021.02,동박,7410211000,VN,베트남,3325999,63674
2021.02,동박,7410211000,HK,홍콩,762481,12096
2021.02,동박,7410211000,TW,대만,5982518,66716
2021.02,동박,7410211000,FR,프랑스,10307,169
2021.02,동박,7410211000,PL,폴란드,934,12
