월,품목명,HS코드,국가코드,국가명,수출금액_USD,수출중량_KG
2024.01,PCB,853400,US,미국,22722682,66038
2024.01,PCB,853400,CN,중국,120020460,298270
2024.01,PCB,853400,JP,일본,9112690,15133
2024.01,PCB,853400,VN,베트남,89332369,313786
2024.01,PCB,853400,HK,홍콩,8241902,24976
2024.01,PCB,853400,FR,프랑스,1059415,1737
2024.01,PCB,853400,PL,폴란드,1593277,49366
2024.01,PCB,853400,GB,영국,47593,119
2024.01,PCB,853400,OTHER,기타,162044786,705737
2024.02,PCB,853400,US,미국,17751465,49095
2024.02,PCB,853400,CN,중국,100136450,261130
2024.02,PCB,853400,JP,일본,6220836,9320
2024.02,PCB,853400,VN,베트남,81271502,321767
2024.02,PCB,853400,HK,홍콩,4949074,13303
2024.02,PCB,853400,FR,프랑스,956919,2398
2024.02,PCB,853400,PL,폴란드,3102898,86986
2024.02,PCB,853400,GB,영국,92565,88
2024.02,PCB,853400,OTHER,기타,139322010,628679
2024.03,PCB,853400,US,미국,18439131,41154
2024.03,PCB,853400,CN,중국,113007390,260834
2024.03,PCB,853400,JP,일본,7951038,9943
2024.03,PCB,853400,VN,베트남,82559239,297987
2024.03,PCB,853400,HK,홍콩,6988786,18061
2024.03,PCB,853400,FR,프랑스,555342,1167
2024.03,PCB,853400,PL,폴란드,2937839,59345
2024.03,PCB,853400,GB,영국,31660,46
2024.03,PCB,853400,OTHER,기타,140425298,638400
2024.04,PCB,853400,US,미국,17993785,62337
2024.04,PCB,853400,CN,중국,107890062,276065
2024.04,PCB,853400,JP,일본,6775566,9963
2024.04,PCB,853400,VN,베트남,89285128,338410
2024.04,PCB,853400,HK,홍콩,6860113,16417
2024.04,PCB,853400,FR,프랑스,483555,953
2024.04,PCB,853400,PL,폴란드,3402784,95822
2024.04,PCB,853400,GB,영국,106833,102
2024.04,PCB,853400,OTHER,기타,148700099,705308
2024.05,PCB,853400,US,미국,17289622,49588
2024.05,PCB,853400,CN,중국,113640831,277132
2024.05,PCB,853400,JP,일본,8802992,17336
2024.05,PCB,853400,VN,베트남,105276246,360278
2024.05,PCB,853400,HK,홍콩,5152296,13186
2024.05,PCB,853400,FR,프랑스,1057309,1912
2024.05,PCB,853400,PL,폴란드,3080710,68026
2024.05,PCB,853400,GB,영국,187882,144
2024.05,PCB,853400,OTHER,기타,154925113,693732
2024.06,PCB,853400,US,미국,20056584,51881
2024.06,PCB,853400,CN,중국,107793722,254796
2024.06,PCB,853400,JP,일본,6990160,10747
2024.06,PCB,853400,VN,베트남,101663304,320232
2024.06,PCB,853400,HK,홍콩,4216845,10749
2024.06,PCB,853400,FR,프랑스,423286,1009
2024.06,PCB,853400,PL,폴란드,2340968,63525
2024.06,PCB,853400,GB,영국,152889,144
2024.06,PCB,853400,OTHER,기타,145955273,587876
2024.07,PCB,853400,US,미국,22207687,57744
2024.07,PCB,853400,CN,중국,117116440,289129
2024.07,PCB,853400,JP,일본,8594296,16287
2024.07,PCB,853400,VN,베트남,106379424,332621
2024.07,PCB,853400,HK,홍콩,9671445,16405
2024.07,PCB,853400,FR,프랑스,745590,1468
2024.07,PCB,853400,PL,폴란드,2941076,66545
2024.07,PCB,853400,GB,영국,62412,100
2024.07,PCB,853400,OTHER,기타,163931025,710424
2024.08,PCB,853400,US,미국,19621797,49126
2024.08,PCB,853400,CN,중국,113910226,253167
2024.08,PCB,853400,JP,일본,7021842,11130
2024.08,PCB,853400,VN,베트남,93295628,329387
2024.08,PCB,853400,HK,홍콩,7618262,14924
2024.08,PCB,853400,FR,프랑스,604140,1293
2024.08,PCB,853400,PL,폴란드,1818146,34103
2024.08,PCB,853400,GB,영국,145403,60
2024.08,PCB,853400,OTHER,기타,147303971,616769
2024.09,PCB,853400,US,미국,20411716,45141
2024.09,PCB,853400,CN,중국,104504562,235179
2024.09,PCB,853400,JP,일본,8657892,11256
2024.09,PCB,853400,VN,베트남,78799638,288019
2024.09,PCB,853400,HK,홍콩,5630736,11663
2024.09,PCB,853400,FR,프랑스,123022,390
2024.09,PCB,853400,PL,폴란드,1724935,33097
2024.09,PCB,853400,GB,영국,140994,120
2024.09,PCB,853400,OTHER,기타,134326103,493178
2024.10,PCB,853400,US,미국,21152742,53078
2024.10,PCB,853400,CN,중국,107140641,270876
2024.10,PCB,853400,JP,일본,7882029,9477
2024.10,PCB,853400,VN,베트남,86126656,360792
2024.10,PCB,853400,HK,홍콩,5265214,10423
2024.10,PCB,853400,FR,프랑스,459635,768
2024.10,PCB,853400,PL,폴란드,2295492,48388
2024.10,PCB,853400,GB,영국,158302,150
2024.10,PCB,853400,OTHER,기타,156834458,603200
2024.11,PCB,853400,US,미국,22621234,62063
2024.11,PCB,853400,CN,중국,95431064,248330
2024.11,PCB,853400,JP,일본,7359455,11512
2024.11,PCB,853400,VN,베트남,76852490,316242
2024.11,PCB,853400,HK,홍콩,4780309,9935
2024.11,PCB,853400,FR,프랑스,745143,1247
2024.11,PCB,853400,PL,폴란드,2282011,46024
2024.11,PCB,853400,GB,영국,193482,165
2024.11,PCB,853400,OTHER,기타,149372227,622655
2024.12,PCB,853400,US,미국,19709815,46011
2024.12,PCB,853400,CN,중국,86470758,243353
2024.12,PCB,853400,JP,일본,6312228,9957
2024.12,PCB,853400,VN,베트남,71619085,333327
2024.12,PCB,853400,HK,홍콩,6483035,16574
2024.12,PCB,853400,FR,프랑스,297368,413
2024.12,PCB,853400,PL,폴란드,2619334,66400
2024.12,PCB,853400,GB,영국,217358,200
2024.12,PCB,853400,OTHER,기타,144112554,622421
2025.01,PCB,853400,US,미국,19234293,51666
2025.01,PCB,853400,CN,중국,78051149,211924
2025.01,PCB,853400,JP,일본,8726981,10319
2025.01,PCB,853400,VN,베트남,75777666,323188
2025.01,PCB,853400,HK,홍콩,3390157,6814
2025.01,PCB,853400,FR,프랑스,726908,1003
2025.01,PCB,853400,PL,폴란드,2491960,70895
2025.01,PCB,853400,GB,영국,116866,122
2025.01,PCB,853400,OTHER,기타,151238681,609678
2025.02,PCB,853400,US,미국,18952792,39192
2025.02,PCB,853400,CN,중국,81985487,221196
2025.02,PCB,853400,JP,일본,8358588,10210
2025.02,PCB,853400,VN,베트남,83063345,343460
2025.02,PCB,853400,HK,홍콩,2283531,5645
2025.02,PCB,853400,FR,프랑스,1102711,1745
2025.02,PCB,853400,PL,폴란드,3158223,76021
2025.02,PCB,853400,GB,영국,130668,52
2025.02,PCB,853400,OTHER,기타,143959368,606634
2025.03,PCB,853400,US,미국,21902347,57361
2025.03,PCB,853400,CN,중국,96437992,238606
2025.03,PCB,853400,JP,일본,5681998,10463
2025.03,PCB,853400,VN,베트남,80697018,333833
2025.03,PCB,853400,HK,홍콩,2703148,6503
2025.03,PCB,853400,FR,프랑스,1092277,1813
2025.03,PCB,853400,PL,폴란드,2426694,62820
2025.03,PCB,853400,GB,영국,15353,17
2025.03,PCB,853400,OTHER,기타,178217063,725135
2025.04,PCB,853400,US,미국,21687103,48934
2025.04,PCB,853400,CN,중국,104312562,243870
2025.04,PCB,853400,JP,일본,7375260,13657
2025.04,PCB,853400,VN,베트남,79252075,318564
2025.04,PCB,853400,HK,홍콩,4366901,8145
2025.04,PCB,853400,FR,프랑스,798864,1300
2025.04,PCB,853400,PL,폴란드,4121222,96254
2025.04,PCB,853400,GB,영국,156102,217
2025.04,PCB,853400,OTHER,기타,187751536,770424
2025.05,PCB,853400,US,미국,19261918,68823
2025.05,PCB,853400,CN,중국,88925631,233290
2025.05,PCB,853400,JP,일본,7474544,9870
2025.05,PCB,853400,VN,베트남,80073791,322936
2025.05,PCB,853400,HK,홍콩,5121376,9273
2025.05,PCB,853400,FR,프랑스,447221,860
2025.05,PCB,853400,PL,폴란드,2614111,69401
2025.05,PCB,853400,GB,영국,80630,92
2025.05,PCB,853400,OTHER,기타,170088399,630721
2025.06,PCB,853400,US,미국,22466113,57833
2025.06,PCB,853400,CN,중국,93594417,227705
2025.06,PCB,853400,JP,일본,8903595,12353
2025.06,PCB,853400,VN,베트남,85043244,329845
2025.06,PCB,853400,HK,홍콩,6153688,11792
2025.06,PCB,853400,FR,프랑스,243065,362
2025.06,PCB,853400,PL,폴란드,3291098,67817
2025.06,PCB,853400,GB,영국,32163,42
2025.06,PCB,853400,OTHER,기타,178544192,653390
2025.07,PCB,853400,US,미국,32274892,78986
2025.07,PCB,853400,CN,중국,100224571,231092
2025.07,PCB,853400,JP,일본,9187498,11529
2025.07,PCB,853400,VN,베트남,90002656,385509
2025.07,PCB,853400,HK,홍콩,4923177,8437
2025.07,PCB,853400,FR,프랑스,611807,1100
2025.07,PCB,853400,PL,폴란드,5020956,119912
2025.07,PCB,853400,GB,영국,43947,84
2025.07,PCB,853400,OTHER,기타,194166717,696271
2025.08,PCB,853400,US,미국,21804699,63836
2025.08,PCB,853400,CN,중국,94709070,215928
2025.08,PCB,853400,JP,일본,7571159,11649
2025.08,PCB,853400,VN,베트남,94770510,373590
2025.08,PCB,853400,HK,홍콩,4780469,9594
2025.08,PCB,853400,FR,프랑스,1082669,2017
2025.08,PCB,853400,PL,폴란드,3201989,77564
2025.08,PCB,853400,GB,영국,64847,80
2025.08,PCB,853400,OTHER,기타,197271644,684502
2025.09,PCB,853400,US,미국,33816726,80387
2025.09,PCB,853400,CN,중국,103615429,228488
2025.09,PCB,853400,JP,일본,9846327,11461
2025.09,PCB,853400,VN,베트남,94863865,381994
2025.09,PCB,853400,HK,홍콩,5158711,9543
2025.09,PCB,853400,FR,프랑스,678499,1218
2025.09,PCB,853400,PL,폴란드,2830952,71761
2025.09,PCB,853400,GB,영국,63677,106
2025.09,PCB,853400,OTHER,기타,177696678,730363
2025.10,PCB,853400,US,미국,27577417,66869
2025.10,PCB,853400,CN,중국,104952958,236301
2025.10,PCB,853400,JP,일본,9022545,12017
2025.10,PCB,853400,VN,베트남,96392565,347629
2025.10,PCB,853400,HK,홍콩,3792807,3909
2025.10,PCB,853400,FR,프랑스,993238,1614
2025.10,PCB,853400,PL,폴란드,1588883,30411
2025.10,PCB,853400,GB,영국,227447,283
2025.10,PCB,853400,OTHER,기타,200907534,698651
2025.11,PCB,853400,US,미국,32706427,77919
2025.11,PCB,853400,CN,중국,99118334,236116
2025.11,PCB,853400,JP,일본,8347953,11305
2025.11,PCB,853400,VN,베트남,90922472,345693
2025.11,PCB,853400,HK,홍콩,2740770,3418
2025.11,PCB,853400,FR,프랑스,575354,1272
2025.11,PCB,853400,PL,폴란드,2368050,47321
2025.11,PCB,853400,GB,영국,59952,660
2025.11,PCB,853400,OTHER,기타,189004996,670171
2025.12,PCB,853400,US,미국,32826834,71506
2025.12,PCB,853400,CN,중국,110936678,235131
2025.12,PCB,853400,JP,일본,7218927,9695
2025.12,PCB,853400,VN,베트남,91236834,351392
2025.12,PCB,853400,HK,홍콩,4377799,8684
2025.12,PCB,853400,FR,프랑스,533859,874
2025.12,PCB,853400,PL,폴란드,2026092,48837
2025.12,PCB,853400,GB,영국,157606,186
2025.12,PCB,853400,OTHER,기타,211222416,732293
2026.01,PCB,853400,US,미국,29051504,65844
2026.01,PCB,853400,CN,중국,103058000,248709
2026.01,PCB,853400,JP,일본,8513588,10905
2026.01,PCB,853400,VN,베트남,94206295,355128
2026.01,PCB,853400,HK,홍콩,5149484,13190
2026.01,PCB,853400,FR,프랑스,1809253,3396
2026.01,PCB,853400,PL,폴란드,1540604,33500
2026.01,PCB,853400,GB,영국,43933,83
2026.01,PCB,853400,OTHER,기타,208495133,723541
2026.02,PCB,853400,US,미국,21561455,53239
2026.02,PCB,853400,CN,중국,85570492,200951
2026.02,PCB,853400,JP,일본,8137299,11204
2026.02,PCB,853400,VN,베트남,70100860,282492
2026.02,PCB,853400,HK,홍콩,2151821,5246
2026.02,PCB,853400,FR,프랑스,835592,1742
2026.02,PCB,853400,PL,폴란드,1837108,38741
2026.02,PCB,853400,GB,영국,251978,435
2026.02,PCB,853400,OTHER,기타,187240223,682948
2026.03,PCB,853400,US,미국,27363067,65022
2026.03,PCB,853400,CN,중국,104307994,244299
2026.03,PCB,853400,JP,일본,11299177,12823
2026.03,PCB,853400,VN,베트남,76413676,324719
2026.03,PCB,853400,HK,홍콩,2997096,7658
2026.03,PCB,853400,FR,프랑스,1141840,1952
2026.03,PCB,853400,PL,폴란드,2070317,48063
2026.03,PCB,853400,GB,영국,174540,227
2026.03,PCB,853400,OTHER,기타,215609552,720369
2026.04,PCB,853400,US,미국,27893887,56021
2026.04,PCB,853400,CN,중국,103423154,269873
2026.04,PCB,853400,JP,일본,13601317,19221
2026.04,PCB,853400,VN,베트남,71793603,336556
2026.04,PCB,853400,HK,홍콩,2451940,8651
2026.04,PCB,853400,FR,프랑스,1407636,2525
2026.04,PCB,853400,PL,폴란드,2455812,49197
2026.04,PCB,853400,GB,영국,76413,154
2026.04,PCB,853400,OTHER,기타,211597332,771367
2026.05,PCB,853400,US,미국,33213333,55139
2026.05,PCB,853400,CN,중국,109472655,247973
2026.05,PCB,853400,JP,일본,8823396,10905
2026.05,PCB,853400,VN,베트남,72676169,328903
2026.05,PCB,853400,HK,홍콩,1657891,3702
2026.05,PCB,853400,FR,프랑스,1192573,1931
2026.05,PCB,853400,PL,폴란드,2240510,50211
2026.05,PCB,853400,GB,영국,134424,240
2026.05,PCB,853400,OTHER,기타,187591047,664790
2026.06,PCB,853400,US,미국,33195243,63049
2026.06,PCB,853400,CN,중국,117018155,268140
2026.06,PCB,853400,JP,일본,9757947,13936
2026.06,PCB,853400,VN,베트남,76785423,335598
2026.06,PCB,853400,HK,홍콩,1982183,4756
2026.06,PCB,853400,FR,프랑스,1688932,3018
2026.06,PCB,853400,PL,폴란드,2494979,47659
2026.06,PCB,853400,GB,영국,381553,716
2026.06,PCB,853400,OTHER,기타,217709041,683779
2026.07,PCB,853400,US,미국,39185805,76849
2026.07,PCB,853400,CN,중국,121438438,277076
2026.07,PCB,853400,JP,일본,12729870,14774
2026.07,PCB,853400,VN,베트남,80545986,373043
2026.07,PCB,853400,HK,홍콩,3849115,9449
2026.07,PCB,853400,FR,프랑스,1605544,2725
2026.07,PCB,853400,PL,폴란드,2320403,46904
2026.07,PCB,853400,GB,영국,254474,573
2026.07,PCB,853400,OTHER,기타,228225006,752729
2026.08,PCB,853400,US,미국,45725372,89668
2026.08,PCB,853400,CN,중국,121041870,252834
