월,품목명,HS코드,국가코드,국가명,수출금액_USD,수출중량_KG
2020.01,레이저마커장비,8456119000,US,미국,99053,1194
2020.01,레이저마커장비,8456119000,CN,중국,1873585,34101
2020.01,레이저마커장비,8456119000,JP,일본,65334,1950
2020.01,레이저마커장비,8456119000,VN,베트남,11587608,127592
2020.01,레이저마커장비,8456119000,HK,홍콩,0,0
2020.01,레이저마커장비,8456119000,TW,대만,0,0
2020.01,레이저마커장비,8456119000,FR,프랑스,0,0
2020.01,레이저마커장비,8456119000,PL,폴란드,0,0
2020.01,레이저마커장비,8456119000,GB,영국,0,0
2020.01,레이저마커장비,8456119000,OTHER,기타,578567,6708
2020.02,레이저마커장비,8456119000,US,미국,476954,18079
2020.02,레이저마커장비,8456119000,CN,중국,1963383,86655
2020.02,레이저마커장비,8456119000,JP,일본,94318,93
2020.02,레이저마커장비,8456119000,VN,베트남,1107603,5800
2020.02,레이저마커장비,8456119000,HK,홍콩,0,0
2020.02,레이저마커장비,8456119000,TW,대만,0,0
2020.02,레이저마커장비,8456119000,FR,프랑스,0,0
2020.02,레이저마커장비,8456119000,PL,폴란드,0,0
2020.02,레이저마커장비,8456119000,GB,영국,0,0
2020.02,레이저마커장비,8456119000,OTHER,기타,2693584,46808
2020.03,레이저마커장비,8456119000,US,미국,665216,25859
2020.03,레이저마커장비,8456119000,CN,중국,27034448,415180
2020.03,레이저마커장비,8456119000,JP,일본,1081483,19840
2020.03,레이저마커장비,8456119000,VN,베트남,5636913,61293
2020.03,레이저마커장비,8456119000,HK,홍콩,0,0
2020.03,레이저마커장비,8456119000,TW,대만,0,0
2020.03,레이저마커장비,8456119000,FR,프랑스,0,0
2020.03,레이저마커장비,8456119000,PL,폴란드,0,0
2020.03,레이저마커장비,8456119000,GB,영국,7830,10
2020.03,레이저마커장비,8456119000,OTHER,기타,1003761,29067
2020.04,레이저마커장비,8456119000,US,미국,1397698,50835
2020.04,레이저마커장비,8456119000,CN,중국,6041654,115378
2020.04,레이저마커장비,8456119000,JP,일본,104786,50
2020.04,레이저마커장비,8456119000,VN,베트남,9853198,91827
2020.04,레이저마커장비,8456119000,HK,홍콩,0,0
2020.04,레이저마커장비,8456119000,TW,대만,0,0
2020.04,레이저마커장비,8456119000,FR,프랑스,0,0
2020.04,레이저마커장비,8456119000,PL,폴란드,145445,1716
2020.04,레이저마커장비,8456119000,GB,영국,0,0
2020.04,레이저마커장비,8456119000,OTHER,기타,627587,6986
2020.05,레이저마커장비,8456119000,US,미국,400513,15862
2020.05,레이저마커장비,8456119000,CN,중국,501548,12088
2020.05,레이저마커장비,8456119000,JP,일본,9180,71
2020.05,레이저마커장비,8456119000,VN,베트남,7185251,58547
2020.05,레이저마커장비,8456119000,HK,홍콩,0,0
2020.05,레이저마커장비,8456119000,TW,대만,0,0
2020.05,레이저마커장비,8456119000,FR,프랑스,0,0
2020.05,레이저마커장비,8456119000,PL,폴란드,0,0
2020.05,레이저마커장비,8456119000,GB,영국,0,0
2020.05,레이저마커장비,8456119000,OTHER,기타,508598,9860
2020.06,레이저마커장비,8456119000,US,미국,793219,26047
2020.06,레이저마커장비,8456119000,CN,중국,273662,2793
2020.06,레이저마커장비,8456119000,JP,일본,12742,170
2020.06,레이저마커장비,8456119000,VN,베트남,1006326,12441
2020.06,레이저마커장비,8456119000,HK,홍콩,0,0
2020.06,레이저마커장비,8456119000,TW,대만,930000,17122
2020.06,레이저마커장비,8456119000,FR,프랑스,0,0
2020.06,레이저마커장비,8456119000,PL,폴란드,0,0
2020.06,레이저마커장비,8456119000,GB,영국,8250,20
2020.06,레이저마커장비,8456119000,OTHER,기타,4107044,52652
2020.07,레이저마커장비,8456119000,US,미국,762865,24701
2020.07,레이저마커장비,8456119000,CN,중국,10956150,139520
2020.07,레이저마커장비,8456119000,JP,일본,8250,53
2020.07,레이저마커장비,8456119000,VN,베트남,1083556,12735
2020.07,레이저마커장비,8456119000,HK,홍콩,0,0
2020.07,레이저마커장비,8456119000,TW,대만,3082,9
2020.07,레이저마커장비,8456119000,FR,프랑스,18590,130
2020.07,레이저마커장비,8456119000,PL,폴란드,0,0
2020.07,레이저마커장비,8456119000,GB,영국,0,0
2020.07,레이저마커장비,8456119000,OTHER,기타,1144552,14798
2020.08,레이저마커장비,8456119000,US,미국,951566,48382
2020.08,레이저마커장비,8456119000,CN,중국,9418993,228342
2020.08,레이저마커장비,8456119000,JP,일본,0,0
2020.08,레이저마커장비,8456119000,VN,베트남,302912,2261
2020.08,레이저마커장비,8456119000,HK,홍콩,11993,266
2020.08,레이저마커장비,8456119000,TW,대만,279809,12888
2020.08,레이저마커장비,8456119000,FR,프랑스,0,0
2020.08,레이저마커장비,8456119000,PL,폴란드,0,0
2020.08,레이저마커장비,8456119000,GB,영국,16080,0
2020.08,레이저마커장비,8456119000,OTHER,기타,544652,5317
2020.09,레이저마커장비,8456119000,US,미국,306793,1677
2020.09,레이저마커장비,8456119000,CN,중국,6182335,91562
2020.09,레이저마커장비,8456119000,JP,일본,3233,4
2020.09,레이저마커장비,8456119000,VN,베트남,3375313,40315
2020.09,레이저마커장비,8456119000,HK,홍콩,0,0
2020.09,레이저마커장비,8456119000,TW,대만,458822,27122
2020.09,레이저마커장비,8456119000,FR,프랑스,8920,68
2020.09,레이저마커장비,8456119000,PL,폴란드,0,0
2020.09,레이저마커장비,8456119000,GB,영국,0,0
2020.09,레이저마커장비,8456119000,OTHER,기타,939368,19184
2020.10,레이저마커장비,8456119000,US,미국,2900634,89687
2020.10,레이저마커장비,8456119000,CN,중국,3773889,94925
2020.10,레이저마커장비,8456119000,JP,일본,0,0
2020.10,레이저마커장비,8456119000,VN,베트남,1241898,75135
2020.10,레이저마커장비,8456119000,HK,홍콩,6575,603
2020.10,레이저마커장비,8456119000,TW,대만,0,0
2020.10,레이저마커장비,8456119000,FR,프랑스,0,0
2020.10,레이저마커장비,8456119000,PL,폴란드,0,0
2020.10,레이저마커장비,8456119000,GB,영국,0,0
2020.10,레이저마커장비,8456119000,OTHER,기타,184308,1051
2020.11,레이저마커장비,8456119000,US,미국,1457049,41045
2020.11,레이저마커장비,8456119000,CN,중국,7795553,137290
2020.11,레이저마커장비,8456119000,JP,일본,221607,7061
2020.11,레이저마커장비,8456119000,VN,베트남,487128,6214
2020.11,레이저마커장비,8456119000,HK,홍콩,0,0
2020.11,레이저마커장비,8456119000,TW,대만,739576,9250
2020.11,레이저마커장비,8456119000,FR,프랑스,10840,14
2020.11,레이저마커장비,8456119000,PL,폴란드,0,0
2020.11,레이저마커장비,8456119000,GB,영국,8780,60
2020.11,레이저마커장비,8456119000,OTHER,기타,958772,6848
2020.12,레이저마커장비,8456119000,US,미국,1123388,30284
2020.12,레이저마커장비,8456119000,CN,중국,5075550,56667
2020.12,레이저마커장비,8456119000,JP,일본,447963,17202
2020.12,레이저마커장비,8456119000,VN,베트남,365219,18199
2020.12,레이저마커장비,8456119000,HK,홍콩,0,0
2020.12,레이저마커장비,8456119000,TW,대만,0,0
2020.12,레이저마커장비,8456119000,FR,프랑스,6413,40
2020.12,레이저마커장비,8456119000,PL,폴란드,90676,825
2020.12,레이저마커장비,8456119000,GB,영국,8780,60
2020.12,레이저마커장비,8456119000,OTHER,기타,160012,3181
2021.01,레이저마커장비,8456119000,US,미국,514091,14166
2021.01,레이저마커장비,8456119000,CN,중국,8254335,139760
2021.01,레이저마커장비,8456119000,JP,일본,49606,380
2021.01,레이저마커장비,8456119000,VN,베트남,1337754,12397
2021.01,레이저마커장비,8456119000,HK,홍콩,0,0
2021.01,레이저마커장비,8456119000,TW,대만,0,0
2021.01,레이저마커장비,8456119000,FR,프랑스,0,0
2021.01,레이저마커장비,8456119000,PL,폴란드,0,0
2021.01,레이저마커장비,8456119000,GB,영국,9200,30
2021.01,레이저마커장비,8456119000,OTHER,기타,556954,3412
2021.02,레이저마커장비,8456119000,US,미국,905934,30323
2021.02,레이저마커장비,8456119000,CN,중국,7924924,212974
2021.02,레이저마커장비,8456119000,JP,일본,245391,4534
2021.02,레이저마커장비,8456119000,VN,베트남,509438,28631
2021.02,레이저마커장비,8456119000,HK,홍콩,0,0
2021.02,레이저마커장비,8456119000,TW,대만,0,0
2021.02,레이저마커장비,8456119000,FR,프랑스,0,0
2021.02,레이저마커장비,8456119000,PL,폴란드,0,0
2021.02,레이저마커장비,8456119000,GB,영국,0,0
2021.02,레이저마커장비,8456119000,OTHER,기타,886675,6301
2021.03,레이저마커장비,8456119000,US,미국,629176,25603
2021.03,레이저마커장비,8456119000,CN,중국,798260,12928
2021.03,레이저마커장비,8456119000,JP,일본,7787,55
2021.03,레이저마커장비,8456119000,VN,베트남,6187826,48798
2021.03,레이저마커장비,8456119000,HK,홍콩,0,0
2021.03,레이저마커장비,8456119000,TW,대만,0,0
2021.03,레이저마커장비,8456119000,FR,프랑스,0,0
2021.03,레이저마커장비,8456119000,PL,폴란드,0,0
2021.03,레이저마커장비,8456119000,GB,영국,0,0
2021.03,레이저마커장비,8456119000,OTHER,기타,420831,2544
2021.04,레이저마커장비,8456119000,US,미국,428805,28894
2021.04,레이저마커장비,8456119000,CN,중국,12144319,307967
2021.04,레이저마커장비,8456119000,JP,일본,145398,550
2021.04,레이저마커장비,8456119000,VN,베트남,2700997,58844
2021.04,레이저마커장비,8456119000,HK,홍콩,0,0
2021.04,레이저마커장비,8456119000,TW,대만,0,0
2021.04,레이저마커장비,8456119000,FR,프랑스,13777,54
2021.04,레이저마커장비,8456119000,PL,폴란드,0,0
2021.04,레이저마커장비,8456119000,GB,영국,4600,7
2021.04,레이저마커장비,8456119000,OTHER,기타,755692,62817
2021.05,레이저마커장비,8456119000,US,미국,1664494,9090
2021.05,레이저마커장비,8456119000,CN,중국,4777881,176814
2021.05,레이저마커장비,8456119000,JP,일본,28033,195
2021.05,레이저마커장비,8456119000,VN,베트남,1892023,18078
2021.05,레이저마커장비,8456119000,HK,홍콩,0,0
2021.05,레이저마커장비,8456119000,TW,대만,0,0
2021.05,레이저마커장비,8456119000,FR,프랑스,0,4
2021.05,레이저마커장비,8456119000,PL,폴란드,0,0
2021.05,레이저마커장비,8456119000,GB,영국,13800,25
2021.05,레이저마커장비,8456119000,OTHER,기타,1115652,8074
2021.06,레이저마커장비,8456119000,US,미국,2018464,80632
2021.06,레이저마커장비,8456119000,CN,중국,284302,1655
2021.06,레이저마커장비,8456119000,JP,일본,16822,52
2021.06,레이저마커장비,8456119000,VN,베트남,350949,7152
2021.06,레이저마커장비,8456119000,HK,홍콩,0,0
2021.06,레이저마커장비,8456119000,TW,대만,298571,12927
2021.06,레이저마커장비,8456119000,FR,프랑스,0,0
2021.06,레이저마커장비,8456119000,PL,폴란드,10205,69
2021.06,레이저마커장비,8456119000,GB,영국,0,0
2021.06,레이저마커장비,8456119000,OTHER,기타,929895,17916
2021.07,레이저마커장비,8456119000,US,미국,2702254,82364
2021.07,레이저마커장비,8456119000,CN,중국,4449620,64107
2021.07,레이저마커장비,8456119000,JP,일본,156804,25423
2021.07,레이저마커장비,8456119000,VN,베트남,613973,13371
2021.07,레이저마커장비,8456119000,HK,홍콩,0,0
2021.07,레이저마커장비,8456119000,TW,대만,0,0
