월,대표품목,조회_HS코드,세부_HS코드,세부품목명,수출금액_USD,수출중량_KG,수입금액_USD,수입중량_KG
2020.01,라면,1902301010,1902301010,라면,37380722,11050296,201186,67218
2020.02,라면,1902301010,1902301010,라면,42591411,12514692,225196,78095
2020.03,라면,1902301010,1902301010,라면,52073652,15726589,390152,123179
2020.04,라면,1902301010,1902301010,라면,62026130,18534677,260549,73358
2020.05,라면,1902301010,1902301010,라면,55238305,16754132,279947,71824
2020.06,라면,1902301010,1902301010,라면,52766133,15595116,311130,66764
2020.07,라면,1902301010,1902301010,라면,56486923,16644909,423507,130586
2020.08,라면,1902301010,1902301010,라면,46846706,14217362,252447,58873
2020.09,라면,1902301010,1902301010,라면,51336415,15032558,459445,108451
2020.10,라면,1902301010,1902301010,라면,47424181,13826617,376330,89214
2020.11,라면,1902301010,1902301010,라면,45493737,13207655,656876,137996
2020.12,라면,1902301010,1902301010,라면,53909652,14217534,842663,169704
2021.01,라면,1902301010,1902301010,라면,51040480,14489928,875736,153626
2021.02,라면,1902301010,1902301010,라면,46313452,13433888,680289,114680
2021.03,라면,1902301010,1902301010,라면,59623512,17161909,839198,125279
2021.04,라면,1902301010,1902301010,라면,57491679,16671704,878255,181768
2021.05,라면,1902301010,1902301010,라면,51339862,14391572,705488,120812
2021.06,라면,1902301010,1902301010,라면,53879580,15491023,709017,106826
2021.07,라면,1902301010,1902301010,라면,52402285,15152941,691343,98265
2021.08,라면,1902301010,1902301010,라면,50884636,14797425,678996,119522
2021.09,라면,1902301010,1902301010,라면,58499164,16895331,899539,168473
2021.10,라면,1902301010,1902301010,라면,60488663,17758903,1073059,182300
2021.11,라면,1902301010,1902301010,라면,65785188,19090464,1112510,172254
2021.12,라면,1902301010,1902301010,라면,66654801,18879266,1092754,171630
2022.01,라면,1902301010,1902301010,라면,57695364,16024666,1126864,195018
2022.02,라면,1902301010,1902301010,라면,52702778,14827183,1052791,166315
2022.03,라면,1902301010,1902301010,라면,71533836,20117866,1112731,151971
2022.04,라면,1902301010,1902301010,라면,57374137,15966603,1375566,240291
2022.05,라면,1902301010,1902301010,라면,76632124,21741427,1141186,183010
2022.06,라면,1902301010,1902301010,라면,67345507,18937660,1097577,161642
2022.07,라면,1902301010,1902301010,라면,60057475,16797637,1365575,210936
2022.08,라면,1902301010,1902301010,라면,60603172,17004038,1208100,184959
2022.09,라면,1902301010,1902301010,라면,64191256,17343286,1878081,311243
2022.10,라면,1902301010,1902301010,라면,61676215,18060880,1289913,227584
2022.11,라면,1902301010,1902301010,라면,66113487,19407505,1178990,172792
2022.12,라면,1902301010,1902301010,라면,69487622,19724659,1158783,211479
2023.01,라면,1902301010,1902301010,라면,61505999,16830584,1151788,156396
2023.02,라면,1902301010,1902301010,라면,70718110,18925369,1323524,174529
2023.03,라면,1902301010,1902301010,라면,75634199,19637409,1954989,268666
2023.04,라면,1902301010,1902301010,라면,73951045,18550469,1436048,224910
2023.05,라면,1902301010,1902301010,라면,75070951,18934966,1174452,198840
2023.06,라면,1902301010,1902301010,라면,89168269,22629767,1221432,175892
2023.07,라면,1902301010,1902301010,라면,75921065,19264389,1051024,185278
2023.08,라면,1902301010,1902301010,라면,85657529,21126924,1536208,343673
2023.09,라면,1902301010,1902301010,라면,89605626,22751200,1646975,375073
2023.10,라면,1902301010,1902301010,라면,87954115,22705374,1952433,394341
2023.11,라면,1902301010,1902301010,라면,90776919,23437174,2331156,577595
2023.12,라면,1902301010,1902301010,라면,76438881,19413388,2190377,488170
2024.01,라면,1902301010,1902301010,라면,85751012,21223142,2665901,557346
2024.02,라면,1902301010,1902301010,라면,92901948,22704620,1911209,285103
2024.03,라면,1902301010,1902301010,라면,91609313,23359060,2722859,419630
2024.04,라면,1902301010,1902301010,라면,108537461,26996008,2266567,522834
2024.05,라면,1902301010,1902301010,라면,107337924,26916993,2280462,404968
2024.06,라면,1902301010,1902301010,라면,104081666,25379198,1732776,310428
2024.07,라면,1902301010,1902301010,라면,109132838,26805867,1735491,227852
2024.08,라면,1902301010,1902301010,라면,100621511,24883873,1825226,317857
2024.09,라면,1902301010,1902301010,라면,103676255,25555845,1853740,276454
2024.10,라면,1902301010,1902301010,라면,116961176,28855285,2108096,364996
2024.11,라면,1902301010,1902301010,라면,117550316,30107997,1897386,324885
2024.12,라면,1902301010,1902301010,라면,110223665,27657073,1692047,264137
2025.01,라면,1902301010,1902301010,라면,107465043,26906799,1639001,291337
2025.02,라면,1902301010,1902301010,라면,121129032,30275624,1437041,203872
2025.03,라면,1902301010,1902301010,라면,115221568,28221477,1906940,333725
2025.04,라면,1902301010,1902301010,라면,134679235,32588319,1680057,342543
2025.05,라면,1902301010,1902301010,라면,126800362,30771351,1343091,215955
2025.06,라면,1902301010,1902301010,라면,126332098,29557476,1022713,149038
2025.07,라면,1902301010,1902301010,라면,131169561,32672880,1280166,198508
2025.08,라면,1902301010,1902301010,라면,114992928,28340605,1212559,186973
2025.09,라면,1902301010,1902301010,라면,147207178,36544365,1488086,247822
2025.10,라면,1902301010,1902301010,라면,130226014,32660120,1323021,284597
2025.11,라면,1902301010,1902301010,라면,125974591,31915545,1635325,442561
2025.12,라면,1902301010,1902301010,라면,139657524,33857984,1417964,338486
2026.01,라면,1902301010,1902301010,라면,129673674,31427065,1248459,296703
2026.02,라면,1902301010,1902301010,라면,140139688,33652737,1225695,386128
2026.03,라면,1902301010,1902301010,라면,164678235,39753243,1620200,296921
2026.04,라면,1902301010,1902301010,라면,182078146,43521445,1873091,334916
2026.05,라면,1902301010,1902301010,라면,153481600,36029119,1274056,204474
2026.06,라면,1902301010,1902301010,라면,165225641,39233134,1772014,344223
2026.07,라면,1902301010,1902301010,라면,151043036,36306781,1722308,335054
2026.08,라면,1902301010,1902301010,라면,156623983,37311906,1716837,293694
