월,품목명,HS코드,수출금액_USD,수출중량_KG,수출단가_USD_per_KG,YoY_pct,MoM_pct
2022.01,SIC링(1),8486902090,82728198,503589,164.2772,,
2022.02,SIC링(1),8486902090,82347762,449828,183.065,,-0.46
2022.03,SIC링(1),8486902090,99601749,334006,298.2035,,20.95
2022.04,SIC링(1),8486902090,99652401,292665,340.4999,,0.05
2022.05,SIC링(1),8486902090,93949819,313157,300.0087,,-5.72
2022.06,SIC링(1),8486902090,97385407,315841,308.3368,,3.66
2022.07,SIC링(1),8486902090,100872746,350815,287.5383,,3.58
2022.08,SIC링(1),8486902090,95808056,324523,295.2273,,-5.02
2022.09,SIC링(1),8486902090,93663251,363247,257.85,,-2.24
2022.10,SIC링(1),8486902090,77678227,320988,241.9973,,-17.07
2022.11,SIC링(1),8486902090,95190297,325460,292.4793,,22.54
2022.12,SIC링(1),8486902090,105138867,297974,352.8458,,10.45
2023.01,SIC링(1),8486902090,85849288,217574,394.5751,3.77,-18.35
2023.02,SIC링(1),8486902090,93617147,241836,387.1101,13.69,9.05
2023.03,SIC링(1),8486902090,94368548,253934,371.6263,-5.25,0.8
2023.04,SIC링(1),8486902090,96671888,249116,388.0597,-2.99,2.44
2023.05,SIC링(1),8486902090,78630053,263170,298.7805,-16.31,-18.66
2023.06,SIC링(1),8486902090,112931762,225141,501.6046,15.96,43.62
2023.07,SIC링(1),8486902090,99955399,225727,442.8154,-0.91,-11.49
2023.08,SIC링(1),8486902090,115106189,297861,386.4426,20.14,15.16
2023.09,SIC링(1),8486902090,83426026,260617,320.1097,-10.93,-27.52
2023.10,SIC링(1),8486902090,103431798,656711,157.4997,33.15,23.98
2023.11,SIC링(1),8486902090,116433133,653060,178.2886,22.32,12.57
2023.12,SIC링(1),8486902090,113541822,471709,240.7031,7.99,-2.48
2024.01,SIC링(1),8486902090,122741888,463479,264.8273,42.97,8.1
2024.02,SIC링(1),8486902090,117928238,618259,190.7425,25.97,-3.92
2024.03,SIC링(1),8486902090,110996475,283635,391.3356,17.62,-5.88
2024.04,SIC링(1),8486902090,150162974,223564,671.6778,55.33,35.29
2024.05,SIC링(1),8486902090,120958334,266543,453.8042,53.83,-19.45
2024.06,SIC링(1),8486902090,139530230,269949,516.8763,23.55,15.35
2024.07,SIC링(1),8486902090,143104784,370597,386.1466,43.17,2.56
2024.08,SIC링(1),8486902090,100323935,299949,334.47,-12.84,-29.89
2024.09,SIC링(1),8486902090,92838571,273945,338.8949,11.28,-7.46
2024.10,SIC링(1),8486902090,113335902,438035,258.7371,9.58,22.08
2024.11,SIC링(1),8486902090,109114505,367124,297.2143,-6.29,-3.72
2024.12,SIC링(1),8486902090,116158788,315704,367.9357,2.3,6.46
2025.01,SIC링(1),8486902090,118108648,296590,398.2219,-3.77,1.68
2025.02,SIC링(1),8486902090,106275346,273220,388.9735,-9.88,-10.02
2025.03,SIC링(1),8486902090,120429185,342507,351.6109,8.5,13.32
2025.04,SIC링(1),8486902090,109111745,291940,373.7472,-27.34,-9.4
2025.05,SIC링(1),8486902090,97034933,229947,421.9883,-19.78,-11.07
2025.06,SIC링(1),8486902090,117182729,255211,459.1602,-16.02,20.76
2025.07,SIC링(1),8486902090,139189911,317188,438.8246,-2.74,18.78
2025.08,SIC링(1),8486902090,138465461,253485,546.2472,38.02,-0.52
2025.09,SIC링(1),8486902090,149006302,293168,508.2625,60.5,7.61
2025.10,SIC링(1),8486902090,140134809,251718,556.7135,23.65,-5.95
2025.11,SIC링(1),8486902090,132133510,231527,570.7045,21.1,-5.71
2025.12,SIC링(1),8486902090,179703855,342338,524.9311,54.71,36.0
2026.01,SIC링(1),8486902090,128811330,343811,374.6574,9.06,-28.32
2026.02,SIC링(1),8486902090,176868390,271665,651.0533,66.42,37.31
2026.03,SIC링(1),8486902090,136172584,360309,377.9328,13.07,-23.01
2026.04,SIC링(1),8486902090,176575736,344307,512.8439,61.83,29.67
2026.05,SIC링(1),8486902090,128839395,306894,419.8172,32.78,-27.03
2026.06,SIC링(1),8486902090,194370566,352365,551.6171,65.87,50.86
2026.07,SIC링(1),8486902090,187315401,416125,450.1421,34.58,-3.63
2026.08,SIC링(1),8486902090,158401867,376492,420.731,14.4,-15.44
