월,품목명,HS코드,수출금액_USD,수출중량_KG,수출단가_USD_per_KG,YoY_pct,MoM_pct
2020.01,리튬1차전지,8506500000,6514181,109614,59.4284,,
2020.02,리튬1차전지,8506500000,8913869,122838,72.5661,,36.84
2020.03,리튬1차전지,8506500000,10603617,176872,59.9508,,18.96
2020.04,리튬1차전지,8506500000,8248940,139062,59.3184,,-22.21
2020.05,리튬1차전지,8506500000,6660095,119763,55.6106,,-19.26
2020.06,리튬1차전지,8506500000,8276594,141295,58.5767,,24.27
2020.07,리튬1차전지,8506500000,6640031,107611,61.704,,-19.77
2020.08,리튬1차전지,8506500000,5163198,89812,57.489,,-22.24
2020.09,리튬1차전지,8506500000,8376167,130093,64.386,,62.23
2020.10,리튬1차전지,8506500000,5384811,88098,61.123,,-35.71
2020.11,리튬1차전지,8506500000,6239137,102400,60.9291,,15.87
2020.12,리튬1차전지,8506500000,8333685,138505,60.1688,,33.57
2021.01,리튬1차전지,8506500000,6655813,106909,62.2568,2.17,-20.13
2021.02,리튬1차전지,8506500000,6110714,89649,68.1627,-31.45,-8.19
2021.03,리튬1차전지,8506500000,8117715,126614,64.1139,-23.44,32.84
2021.04,리튬1차전지,8506500000,6673062,96611,69.0715,-19.1,-17.8
2021.05,리튬1차전지,8506500000,8429659,121797,69.2107,26.57,26.32
2021.06,리튬1차전지,8506500000,10191955,150818,67.5778,23.14,20.91
2021.07,리튬1차전지,8506500000,6914080,95647,72.2875,4.13,-32.16
2021.08,리튬1차전지,8506500000,8587457,132548,64.7875,66.32,24.2
2021.09,리튬1차전지,8506500000,8232990,117162,70.2701,-1.71,-4.13
2021.10,리튬1차전지,8506500000,4507068,60330,74.7069,-16.3,-45.26
2021.11,리튬1차전지,8506500000,6254353,90318,69.2481,0.24,38.77
2021.12,리튬1차전지,8506500000,10153631,134395,75.5507,21.84,62.35
2022.01,리튬1차전지,8506500000,5661990,79808,70.9451,-14.93,-44.24
2022.02,리튬1차전지,8506500000,3898809,70885,55.0019,-36.2,-31.14
