월,품목명,HS코드,수출금액_USD,수출중량_KG,수출단가_USD_per_KG,YoY_pct,MoM_pct
2021.03,알루미늄박,7606120000,155915164,53421053,2.9186,15.44,23.41
2021.03,레이저마커장비,8456119000,8043880,89928,89.448,-77.3,-23.19
2021.03,DRAM모듈,8473304060,906409347,167078,5425.067,-18.27,21.66
2021.03,변압기,8504,230809820,13683850,16.8673,17.83,21.41
2021.03,대형변압기,8504230000,46751042,5023619,9.3062,-3.05,63.98
2021.03,리튬1차전지,8506500000,8117715,126614,64.1139,-23.44,32.84
2021.03,리튬이온전지_ESS_proxy,850760,510292119,16163462,31.5707,27.67,29.46
2021.03,SSD,8523511000,910644390,246882,3688.5815,7.33,17.61
2021.03,MLCC,8532240000,112110586,553837,202.4252,34.79,13.47
2021.03,PCB,853400,461784526,1729834,266.9531,9.97,16.26
2021.03,"GDDR기판, FPCB",8534002000,233067722,375126,621.3052,26.69,14.14
2021.03,PCB,8534009000,227514729,1344968,169.16,-2.62,18.6
2021.03,소켓,8536909090,74834335,1331491,56.2034,29.97,12.3
2021.03,태양광패널,8541430000,105952194,13832960,7.6594,-30.25,8.49
2021.03,반도체전체,8542,8142640750,1745397,4665.2084,12.73,13.13
2021.03,DRAM,8542321010,1785261687,170200,10489.1991,15.37,16.94
2021.03,NAND Flash,8542321030,441894394,53049,8329.9288,-9.72,-3.87
2021.03,MCP,8542323000,2543431438,74798,34004.0033,25.97,18.7
2021.03,해저케이블(2),8544602010,8358011,1712430,4.8808,-31.17,-79.67
2021.03,해저케이블(1),8544603010,18585493,3302434,5.6278,-59.71,540.06
2021.03,체성분분석기,9018198000,6212464,38729,160.4086,4.01,-0.8
2021.03,인터페이스보드,9030901000,30264437,21259,1423.6059,12.37,21.65
2021.04,라면,1902301010,57491679,16671704,3.4485,-7.31,-3.58
2021.04,양극재 NCM,2841909020,349850062,14387115,24.3169,147.53,7.87
2021.04,톡신,300249,19056118,30675,621.2263,27.25,-30.56
2021.04,톡신,3002491000,19056118,30675,621.2263,27.25,-30.56
2021.04,창상피복재,3005904000,5874125,93988,62.4987,187.54,41.71
2021.04,화장품,330499,695557228,23854481,29.1583,76.57,3.8
2021.04,기초화장품,3304991000,457213474,15461589,29.5709,96.36,7.52
2021.04,메이크업화장품,3304992000,56653982,958497,59.1071,37.26,7.41
2021.04,필러,3304999000,178226882,7130872,24.9937,50.7,-5.66
2021.04,마스크팩,3307904000,54969115,5044533,10.8968,12.07,-1.21
2021.04,동박,7410211000,27223206,455853,59.7193,18.45,-3.05
2021.04,알루미늄박,7606120000,174857291,56471603,3.0964,41.66,12.15
2021.04,레이저마커장비,8456119000,16193588,459133,35.2699,-10.88,101.32
2021.04,DRAM모듈,8473304060,1007691391,158393,6361.9692,-9.99,11.17
2021.04,변압기,8504,217745290,11675673,18.6495,37.74,-5.66
2021.04,대형변압기,8504230000,27237980,2752647,9.8952,-31.04,-41.74
2021.04,리튬1차전지,8506500000,6673062,96611,69.0715,-19.1,-17.8
2021.04,리튬이온전지_ESS_proxy,850760,463298115,14752110,31.4055,28.66,-9.21
2021.04,SSD,8523511000,746152788,205355,3633.4776,-9.48,-18.06
2021.04,MLCC,8532240000,114508414,543551,210.6673,58.05,2.14
2021.04,PCB,853400,430407408,1684802,255.4647,18.38,-6.79
2021.04,"GDDR기판, FPCB",8534002000,220612012,375249,587.9083,27.07,-5.34
2021.04,PCB,8534009000,208193819,1285438,161.9633,10.47,-8.49
2021.04,소켓,8536909090,70510485,1303535,54.0917,40.77,-5.78
2021.04,태양광패널,8541430000,98724809,11643573,8.4789,-3.9,-6.82
2021.04,반도체전체,8542,7884261059,1696831,4646.4622,37.46,-3.17
2021.04,DRAM,8542321010,1858230153,155028,11986.4163,15.66,4.09
2021.04,NAND Flash,8542321030,491393546,48756,10078.6272,-7.74,11.2
2021.04,MCP,8542323000,2195578967,66130,33200.9522,52.17,-13.68
2021.04,해저케이블(2),8544602010,7334154,1392838,5.2656,-49.05,-12.25
2021.04,해저케이블(1),8544603010,40307837,6198244,6.5031,5.72,116.88
2021.04,체성분분석기,9018198000,4723290,33949,139.129,-5.23,-23.97
2021.04,인터페이스보드,9030901000,32031397,22341,1433.7495,25.26,5.84
2021.05,라면,1902301010,51339862,14391572,3.5674,-7.06,-10.7
2021.05,양극재 NCM,2841909020,348466390,14730907,23.6555,174.84,-0.4
2021.05,톡신,300249,20381882,41061,496.3806,-6.57,6.96
2021.05,톡신,3002491000,20381882,41061,496.3806,-6.57,6.96
2021.05,창상피복재,3005904000,2896468,37679,76.8722,-10.28,-50.69
2021.05,화장품,330499,621696788,21060944,29.5189,50.95,-10.62
2021.05,기초화장품,3304991000,390996976,13016414,30.0388,54.84,-14.48
2021.05,메이크업화장품,3304992000,55729284,862357,64.6244,85.48,-1.63
2021.05,필러,3304999000,172565455,6945676,24.845,35.11,-3.18
2021.05,마스크팩,3307904000,48012398,3855919,12.4516,27.1,-12.66
2021.05,동박,7410211000,34688743,448240,77.3888,51.6,27.42
2021.05,알루미늄박,7606120000,179954652,55837197,3.2228,71.37,2.92
2021.05,레이저마커장비,8456119000,9491883,212280,44.714,10.31,-41.38
