월,품목명,HS코드,수출금액_USD,수출중량_KG,수출단가_USD_per_KG,YoY_pct,MoM_pct
2020.01,SIC링(2),8486902040,123816554,629004,196.8454,,
2020.02,SIC링(2),8486902040,100010358,456798,218.9378,,-19.23
2020.03,SIC링(2),8486902040,114747395,725987,158.0571,,14.74
2020.04,SIC링(2),8486902040,108443060,358498,302.4928,,-5.49
2020.05,SIC링(2),8486902040,109847732,399862,274.7141,,1.3
2020.06,SIC링(2),8486902040,123088865,552555,222.7631,,12.05
2020.07,SIC링(2),8486902040,119669409,374403,319.6273,,-2.78
2020.08,SIC링(2),8486902040,106057971,320536,330.8769,,-11.37
2020.09,SIC링(2),8486902040,111028704,448035,247.8126,,4.69
2020.10,SIC링(2),8486902040,108863544,392049,277.6784,,-1.95
2020.11,SIC링(2),8486902040,118059899,438258,269.3845,,8.45
2020.12,SIC링(2),8486902040,132601442,531486,249.4919,,12.32
2021.01,SIC링(2),8486902040,124423666,545934,227.9097,0.49,-6.17
2021.02,SIC링(2),8486902040,129257054,507429,254.7293,29.24,3.88
2021.03,SIC링(2),8486902040,162859771,576550,282.4729,41.93,26.0
2021.04,SIC링(2),8486902040,146152547,597850,244.4636,34.77,-10.26
2021.05,SIC링(2),8486902040,163441986,586268,278.7837,48.79,11.83
2021.06,SIC링(2),8486902040,154475734,560653,275.5282,25.5,-5.49
2021.07,SIC링(2),8486902040,170162106,678213,250.8977,42.19,10.15
2021.08,SIC링(2),8486902040,184363181,724900,254.3291,73.83,8.35
2021.09,SIC링(2),8486902040,156078062,548214,284.7028,40.57,-15.34
2021.10,SIC링(2),8486902040,156481458,619855,252.4485,43.74,0.26
2021.11,SIC링(2),8486902040,149361281,467050,319.7972,26.51,-4.55
2021.12,SIC링(2),8486902040,175704260,868674,202.2672,32.51,17.64
2022.01,SIC링(2),8486902040,56344020,157685,357.3201,-54.72,-67.93
2022.02,SIC링(2),8486902040,71442454,198731,359.4933,-44.73,26.8
2022.03,SIC링(2),8486902040,108083683,423897,254.9763,-33.63,51.29
2022.04,SIC링(2),8486902040,77837557,412314,188.7822,-46.74,-27.98
2022.05,SIC링(2),8486902040,89678487,379392,236.3742,-45.13,15.21
2022.06,SIC링(2),8486902040,97326350,473517,205.5393,-37.0,8.53
2022.07,SIC링(2),8486902040,102234743,421010,242.8321,-39.92,5.04
2022.08,SIC링(2),8486902040,105119388,489216,214.8732,-42.98,2.82
2022.09,SIC링(2),8486902040,99479489,585368,169.9435,-36.26,-5.37
2022.10,SIC링(2),8486902040,79858324,483146,165.2882,-48.97,-19.72
2022.11,SIC링(2),8486902040,63591956,298655,212.9278,-57.42,-20.37
2022.12,SIC링(2),8486902040,72181414,252369,286.0154,-58.92,13.51
2023.01,SIC링(2),8486902040,53687970,261076,205.6412,-4.71,-25.62
2023.02,SIC링(2),8486902040,63527798,222495,285.5246,-11.08,18.33
