월,품목명,HS코드,국가코드,국가명,수출금액_USD,수출중량_KG
2026.01,창상피복재,3005904000,US,미국,3274892,18133
2026.01,창상피복재,3005904000,CN,중국,637808,3193
2026.01,창상피복재,3005904000,JP,일본,22271,3433
2026.01,창상피복재,3005904000,VN,베트남,65453,311
2026.01,창상피복재,3005904000,HK,홍콩,0,0
2026.01,창상피복재,3005904000,FR,프랑스,167132,741
2026.01,창상피복재,3005904000,PL,폴란드,2500,5
2026.01,창상피복재,3005904000,GB,영국,1088522,6582
2026.01,창상피복재,3005904000,OTHER,기타,2306520,17322
2026.02,창상피복재,3005904000,US,미국,4224052,30499
2026.02,창상피복재,3005904000,CN,중국,160784,1484
2026.02,창상피복재,3005904000,JP,일본,0,0
2026.02,창상피복재,3005904000,VN,베트남,0,0
2026.02,창상피복재,3005904000,HK,홍콩,0,0
2026.02,창상피복재,3005904000,FR,프랑스,0,0
2026.02,창상피복재,3005904000,PL,폴란드,0,0
2026.02,창상피복재,3005904000,GB,영국,865865,4537
2026.02,창상피복재,3005904000,OTHER,기타,1502877,48341
2026.03,창상피복재,3005904000,US,미국,6117756,36936
2026.03,창상피복재,3005904000,CN,중국,1103486,5957
2026.03,창상피복재,3005904000,JP,일본,22300,3433
2026.03,창상피복재,3005904000,VN,베트남,62523,3331
2026.03,창상피복재,3005904000,HK,홍콩,19214,400
2026.03,창상피복재,3005904000,FR,프랑스,153369,632
2026.03,창상피복재,3005904000,PL,폴란드,0,0
2026.03,창상피복재,3005904000,GB,영국,927232,5735
2026.03,창상피복재,3005904000,OTHER,기타,1506743,49534
2026.04,창상피복재,3005904000,US,미국,8843090,51259
2026.04,창상피복재,3005904000,CN,중국,534511,2687
2026.04,창상피복재,3005904000,JP,일본,6000,8
2026.04,창상피복재,3005904000,VN,베트남,0,0
2026.04,창상피복재,3005904000,HK,홍콩,600,1
2026.04,창상피복재,3005904000,FR,프랑스,313834,1365
2026.04,창상피복재,3005904000,PL,폴란드,0,0
2026.04,창상피복재,3005904000,GB,영국,563726,5075
2026.04,창상피복재,3005904000,OTHER,기타,2928659,76227
2026.05,창상피복재,3005904000,US,미국,7828795,42247
2026.05,창상피복재,3005904000,CN,중국,65435,744
2026.05,창상피복재,3005904000,JP,일본,8172,70
2026.05,창상피복재,3005904000,VN,베트남,7314,59
2026.05,창상피복재,3005904000,HK,홍콩,0,0
2026.05,창상피복재,3005904000,FR,프랑스,0,0
2026.05,창상피복재,3005904000,PL,폴란드,0,0
2026.05,창상피복재,3005904000,GB,영국,1009973,4429
2026.05,창상피복재,3005904000,OTHER,기타,2406287,82808
2026.06,창상피복재,3005904000,US,미국,6122936,42593
2026.06,창상피복재,3005904000,CN,중국,211224,2782
2026.06,창상피복재,3005904000,JP,일본,41398,3559
2026.06,창상피복재,3005904000,VN,베트남,40806,270
2026.06,창상피복재,3005904000,HK,홍콩,0,0
2026.06,창상피복재,3005904000,FR,프랑스,102703,704
2026.06,창상피복재,3005904000,PL,폴란드,6900,13
2026.06,창상피복재,3005904000,GB,영국,727675,3985
2026.06,창상피복재,3005904000,OTHER,기타,1535287,13253
2026.07,창상피복재,3005904000,US,미국,7999551,48464
2026.07,창상피복재,3005904000,CN,중국,12500,64
2026.07,창상피복재,3005904000,JP,일본,5,1
2026.07,창상피복재,3005904000,VN,베트남,0,0
2026.07,창상피복재,3005904000,HK,홍콩,0,0
2026.07,창상피복재,3005904000,FR,프랑스,263571,1144
2026.07,창상피복재,3005904000,PL,폴란드,0,0
2026.07,창상피복재,3005904000,GB,영국,1723274,9615
2026.07,창상피복재,3005904000,OTHER,기타,1943519,51477
2026.08,창상피복재,3005904000,US,미국,3995014,25573
2026.08,창상피복재,3005904000,CN,중국,400352,4222
2026.08,창상피복재,3005904000,JP,일본,25969,3471
2026.08,창상피복재,3005904000,VN,베트남,0,0
2026.08,창상피복재,3005904000,HK,홍콩,0,0
2026.08,창상피복재,3005904000,FR,프랑스,153870,663
2026.08,창상피복재,3005904000,PL,폴란드,0,0
2026.08,창상피복재,3005904000,GB,영국,2001717,10412
2026.08,창상피복재,3005904000,OTHER,기타,2009925,16335
