월,품목명,HS코드,수출금액_USD,수출중량_KG,수출단가_USD_per_KG,YoY_pct,MoM_pct
2020.01,태양광패널,8541430000,160851146,21175626,7.5961,,
2020.02,태양광패널,8541430000,136015671,16747389,8.1216,,-15.44
2020.03,태양광패널,8541430000,151896272,19571913,7.7609,,11.68
2020.04,태양광패널,8541430000,102728324,15938738,6.4452,,-32.37
2020.05,태양광패널,8541430000,101129155,17236195,5.8673,,-1.56
2020.06,태양광패널,8541430000,79533648,11218443,7.0895,,-21.35
2020.07,태양광패널,8541430000,105412904,16165713,6.5208,,32.54
2020.08,태양광패널,8541430000,107829302,16427010,6.5641,,2.29
2020.09,태양광패널,8541430000,130199839,18067964,7.2061,,20.75
2020.10,태양광패널,8541430000,101404965,14682947,6.9063,,-22.12
2020.11,태양광패널,8541430000,94028352,15254373,6.164,,-7.27
2020.12,태양광패널,8541430000,111016316,17016737,6.5239,,18.07
2021.01,태양광패널,8541430000,94906236,11595515,8.1847,-41.0,-14.51
2021.02,태양광패널,8541430000,97659653,12890671,7.576,-28.2,2.9
2021.03,태양광패널,8541430000,105952194,13832960,7.6594,-30.25,8.49
2021.04,태양광패널,8541430000,98724809,11643573,8.4789,-3.9,-6.82
2021.05,태양광패널,8541430000,94814960,14733613,6.4353,-6.24,-3.96
2021.06,태양광패널,8541430000,109718155,15977610,6.867,37.95,15.72
2021.07,태양광패널,8541430000,88053120,11252179,7.8254,-16.47,-19.75
2021.08,태양광패널,8541430000,95397556,13953378,6.8369,-11.53,8.34
2021.09,태양광패널,8541430000,73916944,12270072,6.0242,-43.23,-22.52
2021.10,태양광패널,8541430000,81104086,14857796,5.4587,-20.02,9.72
2021.11,태양광패널,8541430000,82192324,12747020,6.448,-12.59,1.34
2021.12,태양광패널,8541430000,66387932,14665756,4.5267,-40.2,-19.23
2022.01,태양광패널,8541430000,64374875,11436957,5.6287,-32.17,-3.03
2022.02,태양광패널,8541430000,69878844,13460152,5.1915,-28.45,8.55
