월,품목명,HS코드,수출금액_USD,수출중량_KG,수출단가_USD_per_KG,YoY_pct,MoM_pct
2020.01,MLCC,8532240000,74872225,329846,226.9915,,
2020.02,MLCC,8532240000,75318036,327076,230.2769,,0.6
2020.03,MLCC,8532240000,83174775,396426,209.8116,,10.43
2020.04,MLCC,8532240000,72450629,343099,211.1654,,-12.89
2020.05,MLCC,8532240000,89457551,419084,213.4597,,23.47
2020.06,MLCC,8532240000,102649829,457087,224.5739,,14.75
2020.07,MLCC,8532240000,104935047,550267,190.6984,,2.23
2020.08,MLCC,8532240000,102477590,513424,199.5964,,-2.34
2020.09,MLCC,8532240000,122830876,593527,206.9508,,19.86
2020.10,MLCC,8532240000,109878659,521782,210.5835,,-10.54
2020.11,MLCC,8532240000,107696949,514814,209.1958,,-1.99
2020.12,MLCC,8532240000,96174203,486954,197.5016,,-10.7
2021.01,MLCC,8532240000,118519100,627328,188.9268,58.3,23.23
2021.02,MLCC,8532240000,98802727,517767,190.8247,31.18,-16.64
2021.03,MLCC,8532240000,112110586,553837,202.4252,34.79,13.47
2021.04,MLCC,8532240000,114508414,543551,210.6673,58.05,2.14
2021.05,MLCC,8532240000,111308951,560797,198.4835,24.43,-2.79
2021.06,MLCC,8532240000,118169302,570006,207.3124,15.12,6.16
2021.07,MLCC,8532240000,121619489,551221,220.6365,15.9,2.92
2021.08,MLCC,8532240000,122385031,536882,227.9552,19.43,0.63
2021.09,MLCC,8532240000,108612348,496986,218.5421,-11.58,-11.25
2021.10,MLCC,8532240000,99271740,498140,199.2848,-9.65,-8.6
2021.11,MLCC,8532240000,105292849,468977,224.516,-2.23,6.07
2021.12,MLCC,8532240000,97370528,428130,227.4322,1.24,-7.52
2022.01,MLCC,8532240000,102123737,470893,216.8725,-13.83,4.88
2022.02,MLCC,8532240000,93791039,457279,205.1068,-5.07,-8.16
2022.03,MLCC,8532240000,107916704,548977,196.5778,-3.74,15.06
2022.04,MLCC,8532240000,98095392,511993,191.5952,-14.33,-9.1
2022.05,MLCC,8532240000,97035497,438632,221.223,-12.82,-1.08
2022.06,MLCC,8532240000,102699780,429985,238.845,-13.09,5.84
2022.07,MLCC,8532240000,95148824,421203,225.8978,-21.77,-7.35
2022.08,MLCC,8532240000,85345569,374334,227.9931,-30.26,-10.3
2022.09,MLCC,8532240000,90342234,390744,231.2057,-16.82,5.85
2022.10,MLCC,8532240000,96562686,394922,244.5108,-2.73,6.89
2022.11,MLCC,8532240000,90146771,422749,213.2395,-14.38,-6.64
2022.12,MLCC,8532240000,101312995,386024,262.4526,4.05,12.39
2023.01,MLCC,8532240000,108648012,389038,279.2735,6.39,7.24
2023.02,MLCC,8532240000,100401003,396570,253.1735,7.05,-7.59
2023.03,MLCC,8532240000,124482309,470891,264.3548,15.35,23.99
2023.04,MLCC,8532240000,99284668,405251,244.9955,1.21,-20.24
2023.05,MLCC,8532240000,132856149,480222,276.6557,36.91,33.81
2023.06,MLCC,8532240000,111164770,442232,251.3721,8.24,-16.33
2023.07,MLCC,8532240000,107151678,459807,233.0362,12.61,-3.61
2023.08,MLCC,8532240000,122756301,443914,276.5317,43.83,14.56
2023.09,MLCC,8532240000,115002544,497436,231.1906,27.3,-6.32
2023.10,MLCC,8532240000,112413229,466192,241.1308,16.41,-2.25
2023.11,MLCC,8532240000,97687779,415965,234.8462,8.37,-13.1
2023.12,MLCC,8532240000,93208199,380060,245.246,-8.0,-4.59
2024.01,MLCC,8532240000,107592838,464124,231.8192,-0.97,15.43
2024.02,MLCC,8532240000,100284934,495116,202.5484,-0.12,-6.79
2024.03,MLCC,8532240000,107528228,524526,205.0008,-13.62,7.22
2024.04,MLCC,8532240000,105254800,507756,207.2941,6.01,-2.11
2024.05,MLCC,8532240000,107272106,522640,205.2505,-19.26,1.92
2024.06,MLCC,8532240000,102708381,467171,219.8518,-7.61,-4.25
2024.07,MLCC,8532240000,111773048,509806,219.2462,4.31,8.83
2024.08,MLCC,8532240000,107798654,418604,257.5194,-12.18,-3.56
2024.09,MLCC,8532240000,107164740,436718,245.3866,-6.82,-0.59
2024.10,MLCC,8532240000,107486347,472385,227.5397,-4.38,0.3
2024.11,MLCC,8532240000,109894164,450445,243.968,12.5,2.24
2024.12,MLCC,8532240000,106057426,446091,237.7484,13.79,-3.49
2025.01,MLCC,8532240000,103088054,425777,242.1175,-4.19,-2.8
2025.02,MLCC,8532240000,106176701,490811,216.3291,5.88,3.0
2025.03,MLCC,8532240000,107290237,516808,207.6017,-0.22,1.05
2025.04,MLCC,8532240000,109315771,530976,205.877,3.86,1.89
2025.05,MLCC,8532240000,113142700,532203,212.5931,5.47,3.5
2025.06,MLCC,8532240000,115288767,523784,220.1075,12.25,1.9
2025.07,MLCC,8532240000,125056734,528590,236.5855,11.88,8.47
2025.08,MLCC,8532240000,126393844,531543,237.7867,17.25,1.07
2025.09,MLCC,8532240000,133452444,567555,235.1357,24.53,5.58
2025.10,MLCC,8532240000,123407719,535855,230.3006,14.81,-7.53
2025.11,MLCC,8532240000,121340725,523981,231.5747,10.42,-1.67
2025.12,MLCC,8532240000,118093548,554893,212.8222,11.35,-2.68
2026.01,MLCC,8532240000,119254373,548686,217.3454,15.68,0.98
2026.02,MLCC,8532240000,107154302,485145,220.8707,0.92,-10.15
2026.03,MLCC,8532240000,122077511,579923,210.5064,13.78,13.93
2026.04,MLCC,8532240000,105392535,547249,192.5861,-3.59,-13.67
2026.05,MLCC,8532240000,129496735,603521,214.5687,14.45,22.87
2026.06,MLCC,8532240000,150593515,731951,205.7426,30.62,16.29
2026.07,MLCC,8532240000,154755703,725226,213.3896,23.75,2.76
2026.08,MLCC,8532240000,146150092,619567,235.8907,15.63,-5.56
