월,대표품목,조회_HS코드,세부_HS코드,세부품목명,수출금액_USD,수출중량_KG,수입금액_USD,수입중량_KG
2020.01,NAND Flash,8542321030,8542321030,플래시 메모리,565558830,52727,88064492,14748
2020.02,NAND Flash,8542321030,8542321030,플래시 메모리,496412423,52383,83333982,14619
2020.03,NAND Flash,8542321030,8542321030,플래시 메모리,489483650,49108,44039036,8968
2020.04,NAND Flash,8542321030,8542321030,플래시 메모리,532604631,48906,77250997,10893
2020.05,NAND Flash,8542321030,8542321030,플래시 메모리,477943516,40734,125034599,13846
2020.06,NAND Flash,8542321030,8542321030,플래시 메모리,480546112,46436,121328627,16792
2020.07,NAND Flash,8542321030,8542321030,플래시 메모리,492063828,41610,84814527,13189
2020.08,NAND Flash,8542321030,8542321030,플래시 메모리,503100283,43566,161576928,14974
2020.09,NAND Flash,8542321030,8542321030,플래시 메모리,581809584,53207,178993104,16659
2020.10,NAND Flash,8542321030,8542321030,플래시 메모리,505395551,46871,165511400,14964
2020.11,NAND Flash,8542321030,8542321030,플래시 메모리,500733046,54992,155789902,18625
2020.12,NAND Flash,8542321030,8542321030,플래시 메모리,679302439,64983,222798178,25134
2021.01,NAND Flash,8542321030,8542321030,플래시 메모리,488969557,50861,151158781,21982
2021.02,NAND Flash,8542321030,8542321030,플래시 메모리,459703191,46545,122898923,18557
2021.03,NAND Flash,8542321030,8542321030,플래시 메모리,441894394,53049,145393062,23382
2021.04,NAND Flash,8542321030,8542321030,플래시 메모리,491393546,48756,161805440,20998
2021.05,NAND Flash,8542321030,8542321030,플래시 메모리,587405784,53677,226450355,28886
2021.06,NAND Flash,8542321030,8542321030,플래시 메모리,595764768,53106,142182346,17397
2021.07,NAND Flash,8542321030,8542321030,플래시 메모리,494346575,46748,209423772,26066
2021.08,NAND Flash,8542321030,8542321030,플래시 메모리,566156787,52626,184812184,24590
2021.09,NAND Flash,8542321030,8542321030,플래시 메모리,657444772,58595,188382345,24040
2021.10,NAND Flash,8542321030,8542321030,플래시 메모리,634112959,48435,162123715,19551
2021.11,NAND Flash,8542321030,8542321030,플래시 메모리,621119589,51376,307858037,30170
2021.12,NAND Flash,8542321030,8542321030,플래시 메모리,639834302,57715,266398519,30479
2022.01,NAND Flash,8542321030,8542321030,플래시 메모리,522251145,47860,196160148,20481
2022.02,NAND Flash,8542321030,8542321030,플래시 메모리,629182451,45646,241290754,26386
2022.03,NAND Flash,8542321030,8542321030,플래시 메모리,746116388,53004,224592553,24667
2022.04,NAND Flash,8542321030,8542321030,플래시 메모리,742018227,53441,137472107,18183
2022.05,NAND Flash,8542321030,8542321030,플래시 메모리,803340002,59046,264366946,29723
2022.06,NAND Flash,8542321030,8542321030,플래시 메모리,786481424,47408,245955441,26624
2022.07,NAND Flash,8542321030,8542321030,플래시 메모리,738164966,40258,195761576,18933
2022.08,NAND Flash,8542321030,8542321030,플래시 메모리,618529649,39222,160287604,16172
2022.09,NAND Flash,8542321030,8542321030,플래시 메모리,673134026,59330,164174175,15711
2022.10,NAND Flash,8542321030,8542321030,플래시 메모리,566863763,70273,259342796,24762
2022.11,NAND Flash,8542321030,8542321030,플래시 메모리,516919802,47846,204106470,19125
2022.12,NAND Flash,8542321030,8542321030,플래시 메모리,346621582,40150,162652690,14351
2023.01,NAND Flash,8542321030,8542321030,플래시 메모리,364211620,27269,275075305,19972
2023.02,NAND Flash,8542321030,8542321030,플래시 메모리,492061495,48478,267038387,18068
2023.03,NAND Flash,8542321030,8542321030,플래시 메모리,637444105,91230,217503955,21937
2023.04,NAND Flash,8542321030,8542321030,플래시 메모리,352486276,36787,147519077,14087
2023.05,NAND Flash,8542321030,8542321030,플래시 메모리,370462980,38686,457427929,28847
2023.06,NAND Flash,8542321030,8542321030,플래시 메모리,469237419,73154,367716994,33171
2023.07,NAND Flash,8542321030,8542321030,플래시 메모리,355074367,42873,276735265,20262
2023.08,NAND Flash,8542321030,8542321030,플래시 메모리,563207063,59198,133721652,12347
2023.09,NAND Flash,8542321030,8542321030,플래시 메모리,711058351,82318,221135251,18269
2023.10,NAND Flash,8542321030,8542321030,플래시 메모리,563432529,54652,296323136,18866
2023.11,NAND Flash,8542321030,8542321030,플래시 메모리,576927692,52482,141692732,12915
2023.12,NAND Flash,8542321030,8542321030,플래시 메모리,623483753,68567,241204114,18774
2024.01,NAND Flash,8542321030,8542321030,플래시 메모리,857558588,63396,257076102,17152
2024.02,NAND Flash,8542321030,8542321030,플래시 메모리,889118556,56074,352916220,25024
2024.03,NAND Flash,8542321030,8542321030,플래시 메모리,816995296,54996,361441418,26501
2024.04,NAND Flash,8542321030,8542321030,플래시 메모리,615382745,42592,262945910,20128
2024.05,NAND Flash,8542321030,8542321030,플래시 메모리,685634245,41898,225931684,18655
2024.06,NAND Flash,8542321030,8542321030,플래시 메모리,677867380,45475,163053608,15991
2024.07,NAND Flash,8542321030,8542321030,플래시 메모리,536146405,38350,150315568,12434
2024.08,NAND Flash,8542321030,8542321030,플래시 메모리,388012152,30319,151395471,12994
2024.09,NAND Flash,8542321030,8542321030,플래시 메모리,626839396,40645,138347381,10901
2024.10,NAND Flash,8542321030,8542321030,플래시 메모리,440424775,32599,110210408,8342
2024.11,NAND Flash,8542321030,8542321030,플래시 메모리,478932127,45868,92731575,8412
2024.12,NAND Flash,8542321030,8542321030,플래시 메모리,612998107,42186,89714734,7757
2025.01,NAND Flash,8542321030,8542321030,플래시 메모리,307270877,28242,91295363,7818
2025.02,NAND Flash,8542321030,8542321030,플래시 메모리,294102633,46779,102257306,10451
2025.03,NAND Flash,8542321030,8542321030,플래시 메모리,526650290,65525,103200985,12489
2025.04,NAND Flash,8542321030,8542321030,플래시 메모리,430255719,33012,87874381,8853
2025.05,NAND Flash,8542321030,8542321030,플래시 메모리,561258878,42167,134898782,11313
2025.06,NAND Flash,8542321030,8542321030,플래시 메모리,620739271,55076,116959046,9843
2025.07,NAND Flash,8542321030,8542321030,플래시 메모리,461593203,38721,136584898,11247
2025.08,NAND Flash,8542321030,8542321030,플래시 메모리,645465853,43917,125109741,12881
