월,품목명,HS코드,국가코드,국가명,수출금액_USD,수출중량_KG
2023.01,리드프레임,8542900000,US,미국,72309,89
2023.01,리드프레임,8542900000,CN,중국,9640473,118038
2023.01,리드프레임,8542900000,JP,일본,365527,4543
2023.01,리드프레임,8542900000,VN,베트남,1612562,3194
2023.01,리드프레임,8542900000,HK,홍콩,739767,167
2023.01,리드프레임,8542900000,FR,프랑스,0,0
2023.01,리드프레임,8542900000,PL,폴란드,0,0
2023.01,리드프레임,8542900000,GB,영국,3600,2
2023.01,리드프레임,8542900000,OTHER,기타,25895449,340733
2023.02,리드프레임,8542900000,US,미국,162365,30
2023.02,리드프레임,8542900000,CN,중국,6144922,62755
2023.02,리드프레임,8542900000,JP,일본,181325,2029
2023.02,리드프레임,8542900000,VN,베트남,948958,1631
2023.02,리드프레임,8542900000,HK,홍콩,894266,404
2023.02,리드프레임,8542900000,FR,프랑스,1590,2
2023.02,리드프레임,8542900000,PL,폴란드,3375,1
2023.02,리드프레임,8542900000,GB,영국,63359,11
2023.02,리드프레임,8542900000,OTHER,기타,22131107,286360
2023.03,리드프레임,8542900000,US,미국,38472,120
2023.03,리드프레임,8542900000,CN,중국,7041474,84449
2023.03,리드프레임,8542900000,JP,일본,434747,4931
2023.03,리드프레임,8542900000,VN,베트남,1648716,1748
2023.03,리드프레임,8542900000,HK,홍콩,321546,146
2023.03,리드프레임,8542900000,FR,프랑스,0,0
2023.03,리드프레임,8542900000,PL,폴란드,0,0
2023.03,리드프레임,8542900000,GB,영국,18546,4
2023.03,리드프레임,8542900000,OTHER,기타,23797797,304538
2023.04,리드프레임,8542900000,US,미국,227473,277
2023.04,리드프레임,8542900000,CN,중국,8424551,109166
2023.04,리드프레임,8542900000,JP,일본,73155,732
2023.04,리드프레임,8542900000,VN,베트남,1679030,1116
2023.04,리드프레임,8542900000,HK,홍콩,527365,177
2023.04,리드프레임,8542900000,FR,프랑스,128,110
2023.04,리드프레임,8542900000,PL,폴란드,0,0
