월,대표품목,조회_HS코드,세부_HS코드,세부품목명,수출금액_USD,수출중량_KG,수입금액_USD,수입중량_KG
2025.01,변압기,8504,8504101010,전류가 1암페어 이하인 것,5974,63,591332,14700
2025.01,변압기,8504,8504101020,전류가 1암페어 초과 20암페어 이하인 것,109338,3385,269541,6099
2025.01,변압기,8504,8504102000,전류가 20암페어 초과 60암페어 이하인 것,540585,12749,16363,362
2025.01,변압기,8504,8504103000,전류가 60암페어를 초과하는 것,149276,7799,76867,1072
2025.01,변압기,8504,8504211000,계기용 변압기,110542,24005,46684,213
2025.01,변압기,8504,8504219010,용량이 100킬로볼트암페어 이하인 것,23169779,2024081,92174,1983
2025.01,변압기,8504,8504219020,용량이 100킬로볼트암페어 초과 650킬로볼트암페어 이하인 것,9979490,968062,254746,10388
2025.01,변압기,8504,8504221000,계기용 변압기,437651,45571,43118,853
2025.01,변압기,8504,8504229010,"용량이 650킬로볼트암페어 초과 1,000킬로볼트암페어 이하인 것",6008154,685774,0,0
2025.01,변압기,8504,8504229020,"용량이 1,000킬로볼트암페어 초과 5,000킬로볼트암페어 이하인 것",24170307,2433961,0,0
2025.01,변압기,8504,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",85379733,4594544,1640,0
2025.01,변압기,8504,8504311000,계기용 변압기,730782,32649,1487627,62482
2025.01,변압기,8504,8504312000,전압 조정기,237587,8499,224385,6467
2025.01,변압기,8504,8504319010,용량이 100볼트암페어 이하인 것,2972421,161498,7931466,543883
2025.01,변압기,8504,8504319020,용량이 100볼트암페어 초과 500볼트암페어 이하인 것,178993,13709,651000,52096
2025.01,변압기,8504,8504319040,용량이 500볼트암페어 초과 1킬로볼트암페어 이하인 것,116249,4632,234489,6213
2025.01,변압기,8504,8504321000,계기용 변압기,4893,265,139267,6565
2025.01,변압기,8504,8504322000,전압 조정기,30854,1031,807267,8763
2025.01,변압기,8504,8504329010,용량이 1킬로볼트암페어 초과 5킬로볼트암페어 이하인 것,504945,17765,594274,25119
2025.01,변압기,8504,8504329020,용량이 5킬로볼트암페어 초과 16킬로볼트암페어 이하인 것,278014,29050,92555,6459
2025.01,변압기,8504,8504331000,계기용 변압기,5588,720,121891,4420
2025.01,변압기,8504,8504332000,전압 조정기,116229,4000,7198,48
2025.01,변압기,8504,8504339010,용량이 16킬로볼트암페어 초과 30킬로볼트암페어 이하인 것,483043,89537,324030,4728
2025.01,변압기,8504,8504339020,용량이 30킬로볼트암페어 초과 100킬로볼트암페어 이하인 것,2000890,227631,16884,1117
2025.01,변압기,8504,8504339040,용량이 100킬로볼트암페어 초과 500킬로볼트암페어 이하인 것,1470875,115108,109229,6660
2025.01,변압기,8504,8504341000,계기용 변압기,0,0,134036,8714
2025.01,변압기,8504,8504342000,전압 조정기,3542,104,2050,7
2025.01,변압기,8504,8504349010,"용량이 500킬로볼트암페어 초과 2,000킬로볼트암페어 이하인 것",2909257,334080,0,0
2025.01,변압기,8504,8504349030,"용량이 2,000킬로볼트암페어를 초과하는 것",7064824,871841,3161239,286662
2025.01,변압기,8504,8504401010,"자동자료처리기계와 그 단위기기(제8471호, 제8443.31호, 제8443.32호, 제8528.42호, 제8528.52호, 제8528.62호)의 것 및 전기통신용 기기의 것",222071,565,2973584,9237
2025.01,변압기,8504,8504401090,기타,3750258,41472,15166037,351024
2025.01,변압기,8504,8504402011,"자동자료처리기계와 그 단위기기(제8471호, 제8443.31호, 제8443.32호, 제8528.42호, 제8528.52호, 제8528.62호)의 것 및 전기통신용 기기의 것",144477,1587,1004327,76829
