월,품목명,HS코드,국가코드,국가명,수출금액_USD,수출중량_KG
2022.01,PCB,8534009000,US,미국,15951646,38266
2022.01,PCB,8534009000,CN,중국,79027371,252861
2022.01,PCB,8534009000,JP,일본,4526297,14591
2022.01,PCB,8534009000,VN,베트남,59036718,273252
2022.01,PCB,8534009000,HK,홍콩,2767972,15784
2022.01,PCB,8534009000,FR,프랑스,2766,6
2022.01,PCB,8534009000,PL,폴란드,1597284,35960
2022.01,PCB,8534009000,GB,영국,17517,103
2022.01,PCB,8534009000,OTHER,기타,81804149,488885
2022.02,PCB,8534009000,US,미국,9600429,50538
2022.02,PCB,8534009000,CN,중국,79974728,255184
2022.02,PCB,8534009000,JP,일본,4938460,17928
2022.02,PCB,8534009000,VN,베트남,55219965,270927
2022.02,PCB,8534009000,HK,홍콩,5821583,23696
2022.02,PCB,8534009000,FR,프랑스,20376,26
2022.02,PCB,8534009000,PL,폴란드,1916932,66222
2022.02,PCB,8534009000,GB,영국,24380,63
2022.02,PCB,8534009000,OTHER,기타,76201502,476667
2022.03,PCB,8534009000,US,미국,13787903,60594
2022.03,PCB,8534009000,CN,중국,81889563,260707
2022.03,PCB,8534009000,JP,일본,3216355,10791
2022.03,PCB,8534009000,VN,베트남,62761321,288171
2022.03,PCB,8534009000,HK,홍콩,2411932,15071
2022.03,PCB,8534009000,FR,프랑스,11986,20
2022.03,PCB,8534009000,PL,폴란드,3472035,92380
2022.03,PCB,8534009000,GB,영국,33850,36
2022.03,PCB,8534009000,OTHER,기타,90504210,619764
2022.04,PCB,8534009000,US,미국,14894086,74578
2022.04,PCB,8534009000,CN,중국,79515891,254955
2022.04,PCB,8534009000,JP,일본,3150045,10882
2022.04,PCB,8534009000,VN,베트남,62647696,317235
2022.04,PCB,8534009000,HK,홍콩,2180340,11689
2022.04,PCB,8534009000,FR,프랑스,25985,20
2022.04,PCB,8534009000,PL,폴란드,1923337,48625
2022.04,PCB,8534009000,GB,영국,38109,144
2022.04,PCB,8534009000,OTHER,기타,89609048,524279
2022.05,PCB,8534009000,US,미국,15034433,68785
2022.05,PCB,8534009000,CN,중국,81203664,271243
2022.05,PCB,8534009000,JP,일본,4522885,11822
2022.05,PCB,8534009000,VN,베트남,52835728,256976
2022.05,PCB,8534009000,HK,홍콩,2832305,16797
2022.05,PCB,8534009000,FR,프랑스,37153,36
2022.05,PCB,8534009000,PL,폴란드,2251012,55153
2022.05,PCB,8534009000,GB,영국,53279,133
2022.05,PCB,8534009000,OTHER,기타,94015522,504123
2022.06,PCB,8534009000,US,미국,15728550,62993
2022.06,PCB,8534009000,CN,중국,79684715,240289
2022.06,PCB,8534009000,JP,일본,3479848,8605
2022.06,PCB,8534009000,VN,베트남,45759910,214665
2022.06,PCB,8534009000,HK,홍콩,5502556,28562
2022.06,PCB,8534009000,FR,프랑스,19582,15
2022.06,PCB,8534009000,PL,폴란드,3821468,107824
2022.06,PCB,8534009000,GB,영국,35097,125
2022.06,PCB,8534009000,OTHER,기타,97716828,562628
2022.07,PCB,8534009000,US,미국,18210128,82009
2022.07,PCB,8534009000,CN,중국,88310286,217933
2022.07,PCB,8534009000,JP,일본,3865759,7909
2022.07,PCB,8534009000,VN,베트남,48339391,232566
2022.07,PCB,8534009000,HK,홍콩,2854314,14301
2022.07,PCB,8534009000,FR,프랑스,15179,17
2022.07,PCB,8534009000,PL,폴란드,2521258,51874
2022.07,PCB,8534009000,GB,영국,41919,51
