월,대표품목,조회_HS코드,세부_HS코드,세부품목명,수출금액_USD,수출중량_KG,수입금액_USD,수입중량_KG
2020.01,DRAM,8542321010,8542321010,디램,1316193331,85111,516182919,36895
2020.02,DRAM,8542321010,8542321010,디램,1379236449,80101,488944072,43843
2020.03,DRAM,8542321010,8542321010,디램,1547462432,89243,525670215,42230
2020.04,DRAM,8542321010,8542321010,디램,1606693608,82427,557860561,38160
2020.05,DRAM,8542321010,8542321010,디램,1729492217,102723,565952753,40898
2020.06,DRAM,8542321010,8542321010,디램,1742598810,127177,379552049,43273
2020.07,DRAM,8542321010,8542321010,디램,1710712981,131768,350420738,40974
2020.08,DRAM,8542321010,8542321010,디램,1656460521,143355,366244616,35344
2020.09,DRAM,8542321010,8542321010,디램,1722417618,169275,383330464,38117
2020.10,DRAM,8542321010,8542321010,디램,1708850579,167472,543000453,40380
2020.11,DRAM,8542321010,8542321010,디램,1545290464,182857,525065802,48412
2020.12,DRAM,8542321010,8542321010,디램,1361206326,115196,474139215,43651
2021.01,DRAM,8542321010,8542321010,디램,1497226281,112614,410469567,40491
2021.02,DRAM,8542321010,8542321010,디램,1526633720,154410,378462637,34969
2021.03,DRAM,8542321010,8542321010,디램,1785261687,170200,434846516,42836
2021.04,DRAM,8542321010,8542321010,디램,1858230153,155028,359905495,38697
2021.05,DRAM,8542321010,8542321010,디램,1946726364,161139,386624767,40562
2021.06,DRAM,8542321010,8542321010,디램,2176813167,126963,386916032,41126
2021.07,DRAM,8542321010,8542321010,디램,2281692195,125481,479132491,42032
2021.08,DRAM,8542321010,8542321010,디램,2571096763,143500,531252677,42571
2021.09,DRAM,8542321010,8542321010,디램,2568940514,133506,473168878,45280
2021.10,DRAM,8542321010,8542321010,디램,2466591328,143209,513150209,44091
2021.11,DRAM,8542321010,8542321010,디램,2453171225,126253,733484941,55411
2021.12,DRAM,8542321010,8542321010,디램,2556653940,146062,703771102,63806
2022.01,DRAM,8542321010,8542321010,디램,2258480961,147241,542464838,45566
2022.02,DRAM,8542321010,8542321010,디램,2164415779,136233,541513114,37396
2022.03,DRAM,8542321010,8542321010,디램,2462223601,162127,558119036,47620
2022.04,DRAM,8542321010,8542321010,디램,2183887307,135204,527833271,38612
2022.05,DRAM,8542321010,8542321010,디램,2469963975,115449,584082406,47374
2022.06,DRAM,8542321010,8542321010,디램,2489672563,146849,617612339,43767
2022.07,DRAM,8542321010,8542321010,디램,2368371059,189105,626507983,52878
2022.08,DRAM,8542321010,8542321010,디램,2003245387,132187,699741842,56909
2022.09,DRAM,8542321010,8542321010,디램,1823274576,131688,640254709,54613
