월,대표품목,조회_HS코드,세부_HS코드,세부품목명,수출금액_USD,수출중량_KG,수입금액_USD,수입중량_KG
2020.01,기초화장품,3304991000,3304991000,기초화장용 제품류,210669873,7857354,40496234,1626362
2020.02,기초화장품,3304991000,3304991000,기초화장용 제품류,231406789,8920492,41508411,1578112
2020.03,기초화장품,3304991000,3304991000,기초화장용 제품류,359223413,12386413,42227756,1788235
2020.04,기초화장품,3304991000,3304991000,기초화장용 제품류,232843995,9213678,38312468,1663009
2020.05,기초화장품,3304991000,3304991000,기초화장용 제품류,252521139,9036463,32520801,1305227
2020.06,기초화장품,3304991000,3304991000,기초화장용 제품류,261679370,10088445,37513869,1733978
2020.07,기초화장품,3304991000,3304991000,기초화장용 제품류,282179661,10868219,40773228,1648083
2020.08,기초화장품,3304991000,3304991000,기초화장용 제품류,283975162,11243225,41677313,1697564
2020.09,기초화장품,3304991000,3304991000,기초화장용 제품류,386801664,15026645,43463731,1689646
2020.10,기초화장품,3304991000,3304991000,기초화장용 제품류,350153979,13314089,43753282,1865234
2020.11,기초화장품,3304991000,3304991000,기초화장용 제품류,379935941,12192532,48798748,1831600
2020.12,기초화장품,3304991000,3304991000,기초화장용 제품류,316065843,10353348,47613083,1583134
2021.01,기초화장품,3304991000,3304991000,기초화장용 제품류,400839229,11781914,45130744,1559718
2021.02,기초화장품,3304991000,3304991000,기초화장용 제품류,304810733,10723002,40722515,1359781
2021.03,기초화장품,3304991000,3304991000,기초화장용 제품류,425244057,13859058,47329113,1842279
2021.04,기초화장품,3304991000,3304991000,기초화장용 제품류,457213474,15461589,45562710,1635319
2021.05,기초화장품,3304991000,3304991000,기초화장용 제품류,390996976,13016414,44648867,1673051
2021.06,기초화장품,3304991000,3304991000,기초화장용 제품류,340359168,12270695,44518783,1777332
2021.07,기초화장품,3304991000,3304991000,기초화장용 제품류,330918159,13240927,46940955,1924702
2021.08,기초화장품,3304991000,3304991000,기초화장용 제품류,363020877,12928695,55910969,2059859
2021.09,기초화장품,3304991000,3304991000,기초화장용 제품류,448119506,15312545,46052072,1823973
2021.10,기초화장품,3304991000,3304991000,기초화장용 제품류,413765593,14071152,49869143,1899575
2021.11,기초화장품,3304991000,3304991000,기초화장용 제품류,510086277,13085263,43992162,1622646
2021.12,기초화장품,3304991000,3304991000,기초화장용 제품류,324059098,10387572,49444342,1724222
2022.01,기초화장품,3304991000,3304991000,기초화장용 제품류,251683066,8984233,39996746,1461018
2022.02,기초화장품,3304991000,3304991000,기초화장용 제품류,258083010,9195928,45708144,1460242
2022.03,기초화장품,3304991000,3304991000,기초화장용 제품류,319068077,11106936,42108510,1490304
2022.04,기초화장품,3304991000,3304991000,기초화장용 제품류,334287124,11117721,44199468,1636315
2022.05,기초화장품,3304991000,3304991000,기초화장용 제품류,421961929,12726637,41563585,1768184
2022.06,기초화장품,3304991000,3304991000,기초화장용 제품류,283326319,10365429,45559857,1986977
2022.07,기초화장품,3304991000,3304991000,기초화장용 제품류,277974606,10391768,39213599,1567686
2022.08,기초화장품,3304991000,3304991000,기초화장용 제품류,273952287,9563800,46307179,2340403
2022.09,기초화장품,3304991000,3304991000,기초화장용 제품류,346642749,11757543,42411628,1709354
2022.10,기초화장품,3304991000,3304991000,기초화장용 제품류,341829467,10144777,42582883,1953668
2022.11,기초화장품,3304991000,3304991000,기초화장용 제품류,287382263,10269724,43198791,1777672
2022.12,기초화장품,3304991000,3304991000,기초화장용 제품류,249501019,9326376,44653348,1702178
2023.01,기초화장품,3304991000,3304991000,기초화장용 제품류,187617611,7850103,34955585,1289779
2023.02,기초화장품,3304991000,3304991000,기초화장용 제품류,284095325,11140608,42465354,1561278
2023.03,기초화장품,3304991000,3304991000,기초화장용 제품류,339754186,12352288,44274887,1534482
2023.04,기초화장품,3304991000,3304991000,기초화장용 제품류,303711441,11557899,38648378,1478834
2023.05,기초화장품,3304991000,3304991000,기초화장용 제품류,385240251,12287073,39837122,1262408
2023.06,기초화장품,3304991000,3304991000,기초화장용 제품류,332482789,12045169,40043426,1590244
2023.07,기초화장품,3304991000,3304991000,기초화장용 제품류,286817779,10994432,41092453,1697811
2023.08,기초화장품,3304991000,3304991000,기초화장용 제품류,327025260,12053152,44920516,1905292
2023.09,기초화장품,3304991000,3304991000,기초화장용 제품류,386808448,15521885,44717946,1776289
2023.10,기초화장품,3304991000,3304991000,기초화장용 제품류,341870543,13917893,39968736,1656219
2023.11,기초화장품,3304991000,3304991000,기초화장용 제품류,341524542,13385836,34918694,1479953
2023.12,기초화장품,3304991000,3304991000,기초화장용 제품류,301890102,11185239,39497061,1613347
2024.01,기초화장품,3304991000,3304991000,기초화장용 제품류,373357745,12806712,34446469,1214936
2024.02,기초화장품,3304991000,3304991000,기초화장용 제품류,311078720,11051318,33128363,1322236
2024.03,기초화장품,3304991000,3304991000,기초화장용 제품류,332849451,12435515,36099388,1576259
2024.04,기초화장품,3304991000,3304991000,기초화장용 제품류,394461799,14557237,34265158,1559983
2024.05,기초화장품,3304991000,3304991000,기초화장용 제품류,392542969,14515438,32202382,1148328
2024.06,기초화장품,3304991000,3304991000,기초화장용 제품류,333054117,12316704,34261575,1597991
2024.07,기초화장품,3304991000,3304991000,기초화장용 제품류,366587107,13628029,36385500,1584880
2024.08,기초화장품,3304991000,3304991000,기초화장용 제품류,374407216,13303309,37952983,1725276
2024.09,기초화장품,3304991000,3304991000,기초화장용 제품류,402819652,13650082,37222468,1652270
2024.10,기초화장품,3304991000,3304991000,기초화장용 제품류,513720690,15014932,35341959,1532141
2024.11,기초화장품,3304991000,3304991000,기초화장용 제품류,399223373,13232186,32406604,1356576
2024.12,기초화장품,3304991000,3304991000,기초화장용 제품류,351729363,12836018,34216408,1565065
2025.01,기초화장품,3304991000,3304991000,기초화장용 제품류,314778843,10672681,34109268,1623996
2025.02,기초화장품,3304991000,3304991000,기초화장용 제품류,383218430,13162117,32133397,1210779
2025.03,기초화장품,3304991000,3304991000,기초화장용 제품류,406719068,13843965,36913792,1481783
2025.04,기초화장품,3304991000,3304991000,기초화장용 제품류,430788285,15928604,36156930,1534461
2025.05,기초화장품,3304991000,3304991000,기초화장용 제품류,402088465,14122485,33676656,1317987
2025.06,기초화장품,3304991000,3304991000,기초화장용 제품류,394229700,13842733,37868333,1704130
2025.07,기초화장품,3304991000,3304991000,기초화장용 제품류,401556244,14679726,36058494,1626485
2025.08,기초화장품,3304991000,3304991000,기초화장용 제품류,354854834,13528436,39665789,1734484
2025.09,기초화장품,3304991000,3304991000,기초화장용 제품류,462874391,17638749,47459558,2121042
2025.10,기초화장품,3304991000,3304991000,기초화장용 제품류,375367903,13690514,37378997,1757974
2025.11,기초화장품,3304991000,3304991000,기초화장용 제품류,390952741,13861440,35437918,1660458
2025.12,기초화장품,3304991000,3304991000,기초화장용 제품류,441223742,15670785,46559497,1940446
2026.01,기초화장품,3304991000,3304991000,기초화장용 제품류,425428067,14707492,39708967,1880364
2026.02,기초화장품,3304991000,3304991000,기초화장용 제품류,383690814,12957530,30760782,1189727
2026.03,기초화장품,3304991000,3304991000,기초화장용 제품류,499375357,17058942,40882567,1644457
2026.04,기초화장품,3304991000,3304991000,기초화장용 제품류,562650535,19584165,36488635,1453389
2026.05,기초화장품,3304991000,3304991000,기초화장용 제품류,509929495,16617573,29519236,1182546
2026.06,기초화장품,3304991000,3304991000,기초화장용 제품류,555149989,18703474,39586132,2101580
2026.07,기초화장품,3304991000,3304991000,기초화장용 제품류,527127585,18606190,33899030,1670879
2026.08,기초화장품,3304991000,3304991000,기초화장용 제품류,530050539,15658728,34820734,1777392
