월,대표품목,조회_HS코드,세부_HS코드,세부품목명,수출금액_USD,수출중량_KG,수입금액_USD,수입중량_KG
2020.01,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",10713924,1300688,20479002,695140
2020.02,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",27097675,3770756,654795,7075
2020.03,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",48222715,6330891,417,59
2020.04,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",39498973,4808645,1236,64
2020.05,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",20026130,2294102,19210288,697866
2020.06,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",25801181,3427435,1471409,81670
2020.07,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",29654598,3522595,1578,2
2020.08,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",13363829,1828379,6317,43
2020.09,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",31056228,3507383,1052291,127762
2020.10,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",23027256,3195149,1299,33
2020.11,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",27445517,2742523,1804,42
2020.12,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",60260983,6557541,4070,40
2021.01,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",19009305,2242294,0,0
2021.02,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",28509957,2865125,181414,23160
2021.03,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",46751042,5023619,3499,40
2021.04,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",27237980,2752647,0,0
2021.05,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",8091810,958258,498,6
2021.06,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",26555037,2691657,2917059,131001
2021.07,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",25679526,2681511,0,0
2021.08,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",28000648,3581912,1094,10
2021.09,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",6878827,712104,169130,40262
2021.10,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",10347972,1224563,0,0
2021.11,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",24961258,3046797,220640,11932
2021.12,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",32187949,4071289,0,0
2022.01,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",17311262,1848390,1494,2
2022.02,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",26318652,2543085,320,7
2022.03,대형변압기,8504230000,8504230000,"용량이 10,000킬로볼트암페어를 초과하는 것",13535050,1785174,63322,5402
